,,,,,,,,,,31.12.2012,,,(A-B)/(B),
,,,,,,,,,,,,,,
,BALANCE (miles de euros),,,,,,,,,,,,,
,,,,,,,,,6.135.956,,,1,79,,
,,,,,,,,,,4.719.731,,,-5,44,
,,,,,,,,,,4.054.501,,,1,83,
,,,,,,,,,,628.844,,,17,00,
,,,,,,,,,,4.683.345,,,3,86,
,,,,,,,,,,391.159,,,2,43,
,,,,,,,,,,383.965,,,1,31,
,,,,,,,,,,,,,,
,CUENTA DE RESULTADOS (miles de euros),,,,,,,,,,,,,
,,,,,,,,,93.684,,,,-26,47,
,,,,,,,,,,180.576,,,-35,61,
,,,,,,,,,,-56.411,,,-12,20,
,,,,,,,,,,14.101,,,-29,79,
,,,,,,,,,,,,,,
,,,,,,,,,,14.658,,,-17,85,
,,,,,,,,,,,,,,
,RATIOS RELEVANTES (%),,,,,,,,,,,,,
,,,,,,,,,1,70,,,,,
,,,,,,,,,,3,70,,,,
,,,,,,,,,,0,23,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0,36,,,,
,,,,,,,,,,40,44,,,,
,,,,,,,,,,44,47,,,,
,,,,,,,,,,13,73,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,3,60,,,,
,,,,,,,,,,87,02,,,,
,,,,,,,,,,,,,,
,RATIOS DE CAPITAL (%) (*),,,,,,,,,,,,,
,,,,,,,,,9,14,,,,,
,,,,,,,,,,0,00,,,,
,,,,,,,,,,9,16,,,,
,,,,,,,,,,,,,,
,INFORMACIÓN ADICIONAL,,,,,,,,,,,,,
,,,,,,,,,859,,,,,
,,,,,,,,,,257,,,,
