n_linea,ctexto1,ctexto2,distancia,texto1,texto2
1,20,20,0,Mario Masiá Vicente ,Mario Masiá Vicente 
2,17,17,0,Director General ,Director General 
3,87,87,0,"Lagasca, 120 (1º) -28006 MADRID-  Telf.: (34) 91 411 84  67  – Fax: (34) 91 411 84 68  ","Lagasca, 120 (1º) -28006 MADRID-  Telf.: (34) 91 411 84  67  – Fax: (34) 91 411 84 68  "
4,122,122,0,"Registro Mercantil de Madrid. Tomo 5461, Folio 49, Sección 8, Hoja M-89355, Inscripción 1ª Fecha 11/03/93  NIF A-80514466 ","Registro Mercantil de Madrid. Tomo 5461, Folio 49, Sección 8, Hoja M-89355, Inscripción 1ª Fecha 11/03/93  NIF A-80514466 "
5,74,74,0,"D. MARIO MASIÁ VICENTE, en su condición de Director General de Europea de ","D. MARIO MASIÁ VICENTE, en su condición de Director General de Europea de "
6,76,76,0,"Titulización, S.A., Sociedad Gestora de Fondos de Titulización, debidamente ","Titulización, S.A., Sociedad Gestora de Fondos de Titulización, debidamente "
7,80,80,0,"facultado al efecto, y en relación con la comunicación que hemos efectuado a la ","facultado al efecto, y en relación con la comunicación que hemos efectuado a la "
8,81,81,0,"Comisión Nacional del Mercado de Valores el día 3 de julio de 2014, referente al ","Comisión Nacional del Mercado de Valores el día 3 de julio de 2014, referente al "
9,76,76,0,propósito de constituir un fondo denominado RURAL HIPOTECARIO XVII Fondo de ,propósito de constituir un fondo denominado RURAL HIPOTECARIO XVII Fondo de 
10,85,85,0,"Titulización de Activos y a la emisión, con cargo al mismo de Bonos de Titulización, ","Titulización de Activos y a la emisión, con cargo al mismo de Bonos de Titulización, "
11,9,9,0,DECLARA: ,DECLARA: 
12,72,72,0,Que el archivo PDF (RURAL HIPOTECARIO XVII FTA Folleto CNMV.pdf) con el ,Que el archivo PDF (RURAL HIPOTECARIO XVII FTA Folleto CNMV.pdf) con el 
13,78,78,0,texto del Folleto RURAL HIPOTECARIO XVII Fondo de Titulización de Activos que ,texto del Folleto RURAL HIPOTECARIO XVII Fondo de Titulización de Activos que 
14,81,81,0,"les facilitamos en CD, tiene el mismo contenido que el del Folleto de la emisión ","les facilitamos en CD, tiene el mismo contenido que el del Folleto de la emisión "
15,82,82,0,registrado en la Comisión Nacional del Mercado de Valores con fecha 1 de julio de ,registrado en la Comisión Nacional del Mercado de Valores con fecha 1 de julio de 
16,78,78,0,Que autorizo la difusión de dicho archivo a través de la “web” de la Comisión ,Que autorizo la difusión de dicho archivo a través de la “web” de la Comisión 
17,53,53,0,Nacional del Mercado de Valores para su publicación. ,Nacional del Mercado de Valores para su publicación. 
18,80,80,0,Lo que declaro a requerimiento de la Comisión Nacional del Mercado de Valores a ,Lo que declaro a requerimiento de la Comisión Nacional del Mercado de Valores a 
19,55,55,0,"los efectos oportunos en Madrid, a 4 de julio de 2013. ","los efectos oportunos en Madrid, a 4 de julio de 2013. "
20,8,8,0,FOLLETO ,FOLLETO 
21,14,14,0,Julio de 2014 ,Julio de 2014 
22,23,23,0,RURAL HIPOTECARIO XVII ,RURAL HIPOTECARIO XVII 
23,33,33,0,FONDO DE TITULIZACIÓN DE ACTIVOS ,FONDO DE TITULIZACIÓN DE ACTIVOS 
24,34,34,0,EMISIÓN DE BONOS DE TITULIZACIÓN  ,EMISIÓN DE BONOS DE TITULIZACIÓN  
25,17,17,0,90.000.000 euros ,90.000.000 euros 
26,22,22,0,         DBRS / Fitch ,         DBRS / Fitch 
27,27,27,0,    A (high) (sf) /  A+sf  ,    A (high) (sf) /  A+sf  
28,78,78,0,Respaldados por participaciones hipotecarias y certificados de transmisión de ,Respaldados por participaciones hipotecarias y certificados de transmisión de 
29,51,51,0,hipoteca emitidos sobre préstamos hipotecarios por ,hipoteca emitidos sobre préstamos hipotecarios por 
30,29,29,0,"CAJA RURAL DE ARAGÓN, S.C.C. ","CAJA RURAL DE ARAGÓN, S.C.C. "
31,30,30,0,"CAJA RURAL DE GRANADA, S.C.C. ","CAJA RURAL DE GRANADA, S.C.C. "
32,30,30,0,"CAJA RURAL DE NAVARRA, S.C.C. ","CAJA RURAL DE NAVARRA, S.C.C. "
33,29,29,0,"CAJA RURAL DE TERUEL, S.C.C. ","CAJA RURAL DE TERUEL, S.C.C. "
34,20,20,0,Entidad Suscriptora ,Entidad Suscriptora 
35,19,19,0,Entidad Directora  ,Entidad Directora  
36,37,37,0,Fondo constituido y administrado por ,Fondo constituido y administrado por 
37,26,26,0,"ea de Titulización, S.A.  ","ea de Titulización, S.A.  "
38,6,6,0,iedad ,iedad 
39,82,82,0,Folleto inscrito en los Registros de la Comisión Nacional del Mercado de Valores  ,Folleto inscrito en los Registros de la Comisión Nacional del Mercado de Valores  
40,29,29,0,con fecha 1 de julio de 2014 ,con fecha 1 de julio de 2014 
41,7,7,0,ÍNDICE ,ÍNDICE 
42,7,7,0,Página ,Página 
43,20,20,0,FACTORES DE RIESGO  ,FACTORES DE RIESGO  
44,49,49,0,DOCUMENTO DE REGISTRO DE VALORES DE TITULIZACIÓN ,DOCUMENTO DE REGISTRO DE VALORES DE TITULIZACIÓN 
45,82,82,0,(Anexo VII del reglamento (CE) nº 809/2004 de la Comisión de 29 de abril de 2004) ,(Anexo VII del reglamento (CE) nº 809/2004 de la Comisión de 29 de abril de 2004) 
46,22,22,0,PERSONAS RESPONSABLES ,PERSONAS RESPONSABLES 
47,80,80,0,Personas responsables de la información que figura en el Documento de Registro. ,Personas responsables de la información que figura en el Documento de Registro. 
48,73,73,0,Declaración de los responsables del contenido del Documento de Registro. ,Declaración de los responsables del contenido del Documento de Registro. 
49,21,21,0,AUDITORES DE CUENTAS ,AUDITORES DE CUENTAS 
50,21,21,0,Auditores del Fondo. ,Auditores del Fondo. 
51,45,45,0,Criterios contables utilizados por el Fondo. ,Criterios contables utilizados por el Fondo. 
