Cartera de préstamos hipotecarios al día 9.06.2014
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
0,7500 - 0,9999,6 0,51,,1.170.672,67 0,92,,0,94,
1,0000 - 1,2499,47 3,98,,6.332.126,90 4,99,,1,10,
1,2500 - 1,4999,50 4,23,,5.941.891,57 4,68,,1,37,
1,5000 - 1,7499,23 1,95,,3.230.299,42 2,54,,1,58,
1,7500 - 1,9999,75 6,35,,8.351.631,12 6,58,,1,83,
2,0000 - 2,2499,60 5,08,,8.804.506,25 6,93,,2,02,
2,2500 - 2,4999,80 6,77,,10.782.042,53 8,49,,2,29,
2,5000 2,7499,198 16,75,,25.658.013,96 20,20,,2,52,
2,7500 2,9999,171 14,47,,17.360.807,59 13,67,,2,87,
3,0000 3,2499,171 14,47,,16.487.180,43 12,98,,3,00,
3,2500 3,4999,25 2,12,,2.277.616,44 1,79,,3,25,
3,5000 - 3,7499,84 7,11,,8.256.254,75 6,50,,3,52,
3,7500 - 3,9999,89 7,53,,6.411.123,40 5,05,,3,76,
4,0000 - 4,2499,41 3,47,,2.457.965,60 1,94,,4,00,
4,2500 - 4,4999,22 1,86,,1.208.294,06 0,95,,4,25,
4,5000 - 4,7499,13 1,10,,982.017,52 0,77,,4,50,
4,7500 - 4,9999,16 1,35,,781.529,01 0,62,,4,75,
5,0000 - 5,2499,5 0,42,,219.694,91 0,17,,5,00,
5,2500 - 5,4999,1 0,08,,22.451,72 0,02,,5,25,
5,5000 - 5,7499,4 0,34,,235.778,31 0,19,,5,50,
7,0000 - 7,2499,1 0,08,,26.723,92 0,02,,7,00,
Total 1.182 100,00 126.998.622,08 100,00,,,,,,
Media ponderada: 2,59 %
Media simple: 2,77 %
Mínimo: 0,91 %
Máximo: 7,00 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,Media ponderada:,,,,2,59,%
,Media simple:,,,,2,77,%
,Mínimo:,,,,0,91,%
,Máximo:,,,,7,00,%
