FONDOS DE TITULIZACION DE ACTIVOS
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO POR SERIE TIPO POR SERIES AGENCIA DE CALIFICACION CONSTITUCION ACTIVOS
FTA SANTANDER Serie A1 0,00 Euribor 3M + 0.02% S&P España / Fitch España 27/10/2005 3.100.000.000,00 €
EMPRESAS 1 Serie A2 0,00 Euribor 3M + 0.12%
Serie B 0,00 Euribor 3M + 0.21%
Serie C 48.059.561,95 Euribor 3M + 0.29%
Serie D 170.500.000,00 Euribor 3M + 0.59%
Total 218.559.561,95 €
FTA UCI 14 Serie A 473.725.969,25 Euribor 3M + 0.15% S&P España / Fitch España 30/11/2005 1.350.000.000,00 €
Serie B 34.100.000,00 Euribor 3M + 0.29%
Serie C 38.400.000,00 Euribor 3M + 0.58%
Total 546.225.969,25 €
FTA UCI 15 Serie A 551.931.857,06 Euribor 3M + 0.14% S&P España / Fitch España 28/04/2006 1.430.000.010,22 €
Serie B 32.900.000,00 Euribor 3M + 0.27%
Serie C 56.500.000,00 Euribor 3M + 0.53%
Serie D 21.600.000,00 Euribor 3M + 0.58%
Total 662.931.857,06 €
FTA SANTANDER Serie A 637.093.088,85 Euribor 3M + 0.15% S&P España / Moody´s España 30/06/2006 1.955.000.000,00 €
HIPOTECARIO 2 Serie B 51.800.000,00 Euribor 3M + 0.20%
Serie C 32.300.000,00 Euribor 3M + 0.30%
Serie D 49.800.000,00 Euribor 3M + 0.55%
Serie E 19.600.000,00 Euribor 3M + 2.10%
Serie F 17.600.000,00 Euribor 3M + 1.00%
Total 808.193.088,85 €
FTA UCI 16 Serie A1 0,00 Euribor 3M + 0.06% S&P España / Fitch España 18/10/2006 1.800.000.000,00 €
Serie A2 798.355.583,56 Euribor 3M + 0.15%
Serie B 72.000.000,00 Euribor 3M + 0.30%
Serie C 41.400.000,00 Euribor 3M + 0.55%
Serie D 9.000.000,00 Euribor 3M + 2.25%
Serie E 19.800.000,00 Euribor 3M + 2.30%
Total 940.555.583,56 €
FTA Serie A1 0,00 € Euribor 3M + 0.13% S&P España / Moody´s España 17/11/2006 1.000.000.000,00 €
PYMES BANESTO 2 Serie A2 86.656.994,91 € Euribor 3M + 0.16% Fitch España
Serie B 24.300.000,00 € Euribor 3M + 0.27%
Serie C 34.000.000,00 € Euribor 3M + 0.54%
Total 144.956.994,91 €
FTA SANTANDER Serie A 0,00 € Euribor 3M + 0.15% S&P España / Moody´s España 14/12/2006 1.900.000.000,00 €
FINANCIACION 1 Serie B 0,00 € Euribor 3M + 0.20%
Serie C 29.461.620,43 € Euribor 3M + 0.30%
Serie D 47.500.000,00 € Euribor 3M + 0.55%
Serie E 26.600.000,00 € Euribor 3M + 2.10%
Serie F 14.300.000,00 € Euribor 3M + 1.00%
Total 117.861.620,43 €
FTA Serie A1 0,00 € Euribor 3M + 0.05% Fitch España/ Moody´s España 14/12/2006 2.900.000.000,00 €
SANTANDER EMPRESAS 2 Serie A2 0,00 € Euribor 3M + 0.16%
Serie B 43.100.030,55 Euribor 3M + 0.22%
Serie C 62.300.000,00 Euribor 3M + 0.32%
Serie D 59.500.000,00 Euribor 3M + 0.55%
Serie E 29.000.000,00 Euribor 3M + 2.10%
Serie F 53.700.000,00 Euribor 3M + 0.50%
Total 247.600.030,55 €
FTA Serie A1 228.283.384,62 Euribor 3M + 0,06% Fitch España/ Moody´s España 04/04/2007 2.800.000.000,00 €
SANTANDER HIPOTECARIO 3 Serie A2 814.576.686,00 Euribor 3M + 0,14%
Serie A3 222.157.278,00 Euribor 3M + 0,20%
Serie B 79.200.000,00 Euribor 3M + 0,22%
Serie C 47.500.000,00 Euribor 3M + 0,30%
Serie D 72.000.000,00 Euribor 3M + 0,55%
Serie E 28.000.000,00 Euribor 3M + 2,10%
Serie F 22.400.000,00 Euribor 3M + 0,50%
Total 1.514.117.348,62 €
FTA UCI 17 Serie A1 0,00 Euribor 3M + 0.10% S&P España / Fitch España 07/05/2007 1.415.400.000,00 €
Serie A2 721.008.050,34 Euribor 3M + 0.18%
Serie B 72.800.000,00 Euribor 3M + 0.35%
Serie C 28.000.000,00 Euribor 3M + 0.60%
Serie D 15.400.000,00 Euribor 3M + 2.25%
Total 837.208.050,34 €
