INFORMACIÓN FINANCIERA CAJAMAR (datos en miles de €),,,
,,,
BALANCE DE SITUACIÓN (miles de euros),,,
,A 30/09/2015,A 31/12/2014,A 31/12/2013
,,,
Caja y depósitos Bancos Centrales,489.073,495.463,483.253
Cartera de Negociación,592,357,488
Otros Activos Financieros a valor razonable con cambios en pérdidas y gananc,83.950,46.173,19.011
Activos Financieros Disponibles para la Venta,377.056,797.041,3.093.799
Inversiones Crediticias,32.280.287,30.157.026,33.809.015
Cartera de Inversión a Vencimiento,-,-,-
Derivados de Cobertura,35.088,61.006,126.998
Activos no Corrientes en Venta,440.747,408.961,360.151
Participaciones,912.767,774.402,56.359
Contratos de Seguros Vinculados a Pensiones,-,-,-
Ajustes a Activos Financieros por Macro-Coberturas,-,-,-
Activo Material,721.945,703.860,714.454
Activo Intangible,258.772,278.669,332.507
Activos Fiscales,895.141,892.666,883.042
Otros activos,207.276,142.408,88.145
TOTAL ACTIVO 36.702.694 34.758.032 39.967.222,,,
,,,
Cartera de Negociación,218,351,58.259
Otros Pasivos Financieros a Valor Razonable con Cambios en Perdidas y Ga,-,-,-
Pasivos Financieros a Valor Razonable con Cambios en Patrimonio Neto,-,-,-
Pasivos Financieros a Coste Amortizado,33.468.194,31.681.693,36.916.688
Depósitos de bancos centrales,-,300.001,4.665.282
Depositos de entidades de crédito,5.489.712,3.371.202,2.732.114
Depósitos de la clientela,25.520.398,26.270.316,27.073.919
Débitos representados por valores negociables,2.027.046,1.260.057,2.018.996
Pasivos subordinados,87.574,132.937,127.019
Otros pasivos financieros,343.465,347.180,299.358
Ajustes a Pasivos Financieros por Macro-Coberturas,-,-,-
Derivados de Cobertura,1.450,3.623,6.715
Pasivos por Contrato de Seguros,-,,
Provisiones,141.147,108.283,94.194
Pasivos Fiscales,90.621,100.912,102.760
Fondo de Educación y Promoción,8.664,8.549,9.721
Resto de Pasivos,454.699,306.975,293.682
Capital con Naturaleza de Pasivo Financiero,-,-,-
TOTAL PASIVO 34.164.993 32.210.386 37.482.019,,,
,,,
Ajustes por Valoración,-4.730,17.710,5.004
Activos financieros disponibles para la venta,,17.710,5.004
Pasivos financieros a valor razonable con cambios en el patrimonio neto,,-,-
Coberturas de los flujos de efectivo,,-,-
Coberturas de inversiones netas en negocios en el extranjero,,-,-
Diferencias de cambio,,-,-
Activos no corrientes en venta,,-,-
Fondos Propios,2.542.431,2.529.936,2.480.199
Capital, reservas, prima y otros instrumentos de capital,2.538.558,2.489.026,2.508.602
Resultado del ejercicio,32.707,97.901,47.552
Dividendos y retribuciones,-28.834,-56.991,-75.955
Intereses Minoritarios,,,
,,,
TOTAL PATRIMONIO NETO 2.537.701 2.547.646 2.485.203,,,
,,,
TOTAL PATRIMONIO NETO Y PASIVO 36.702.694 34.758.032 39.967.222,,,
,,,
PRO-MEMORIA,,,
Riesgos Contigentes,595.445,596.558,707.048
Compromisos Contigentes,2.417.276,2.455.401,2.044.420
,,,
CUENTAS DE ORDEN 3.012.721 3.051.959 2.751.468,,,
