Fondos de Titulización y FABs,Constitución,Emisión Bonos,Emisión Bonos
,,inicial
(euros),Saldo Vivo a 31/12/2015
(euros)
Hipotecaria (FTH) 2.000.000.000,00,,,444.888.503,10
IM Pastor 3, FTH,09/06/2005,1.000.000.000,00,269.583.012,70
IM Pastor 2, FTH,23/06/2004,1.000.000.000,00,175.305.490,40
Activos (FTA) 97.180.533.206,87,,,21.303.971.695,63
IM GBP MBS 3,05/12/2015,900.000.000,00,900.000.000,00
IM FORTIA 1, FT,24/07/2015,300.000,00,50.000.000,00
IM EVO RMBS 1, FT,17/07/2015,500.000.000,00,500.000.000,00
IM Lico División, FTA,29/05/2015,58.800.000,00,44.206.097,48
IM GBP Empresas VI, FTA,25/03/2015,3.000.000.000,00,2.273.409.174,00
IM GEDESCO TRADE FINANCE, FTA,04/02/2015,50.000.000,00,50.000.000,00
IM AURIGA PYMES EUR 1, FTA,26/09/2014,2.000.000,00,47.000.000,00
ALPHA 3‐IM, FTA,10/01/2014,7.155.754,37,0,00
ALPHA 2‐IM, FTA,10/01/2014,40.122.044,75,0,00
ALPHA 1‐IM, FTA,10/01/2014,76.742.810,52,0,00
FAB 2013 TEIDE, FAB,20/12/2013,86.000.000,00,86.000.000,00
IM Cajamar Empresas 6, FTA,19/12/2013,95.400.000,00,0,00
FAB 2013 BULL, FAB,13/12/2013,50.363.516,00,40.481.453,57
IM BCG RMBS 2, FTA,22/11/2013,1.183.000.000,00,1.040.598.386,10
IM Cajamar Empresas 5, FTA,27/03/2013,675.000.000,00,316.929.573,50
IM Grupo Banco Popular Empresas V, FTA,27/02/2013,2.650.000.000,00,527.673.167,50
Tiber Spain, FTA,16/02/2013,428.114.081,23,602.378,20
IM CFS RMBS 1, FTA,14/12/2012,283.500.000,00,0,00
IM Citi Tarjetas 1, FTA,23/11/2012,1.000.000.000,00,1.000.000.000,00
IM Cajamar Empresas 4, FTA,21/02/2012,1.144.500.000,00,395.492.785,80
IM BES Empresas 1, FTA,16/11/2011,485.000.000,00,0,00
IM Banco Popular FTPYME 3, FTA,28/10/2011,1.300.000.000,00,0,00
IM FTPYME Sabadell 9, FTA,27/10/2011,1.500.000.000,00,0,00
IM UNNIM RMBS 1, FTA,29/07/2011,820.000.000,00,0,00
IM Grupo Banco Popular Leasing 2, FTA,17/06/2011,1.500.000.000,00,0,00
IM Caja Laboral Empresas 1, FTA,18/05/2011,294.500.000,00,33.403.662,50
Cédulas Grupo Banco Popular 5, FTA,27/04/2011,2.350.000.000,00,0,00
IM Grupo Banco Popular Empresas 4, FTA,31/03/2011,2.500.000.000,00,0,00
IM Cédulas 15, FTA,17/12/2010,1.600.000.000,00,0,00
IM Cajastur MBS 1, FTA,22/11/2010,615.000.000,00,425.324.652,00
IM Cédulas 14, FTA,24/03/2010,1.200.000.000,00,0,00
IM Banco Popular MBS 2, FTA,10/03/2010,685.000.000,00,458.219.496,80
IM BCG RMBS 1, FTA,30/10/2009,400.000.000,00,0,00
IM Sabadell Empresas 5, FTA,17/07/2009,900.000.000,00,0,00
IM Grupo Banco Popular Empresas 3, FTA,30/06/2009,2.250.000.000,00,0,00
IM Bankoa MBS 1, FTA,25/06/2009,530.000.000,00,0,00
IM Empresas Pastor 7, FTA,24/04/2009,520.000.000,00,0,00
IM Cajamar Empresas 3, FTA,28/01/2009,870.000.000,00,0,00
IM Sabadell Empresas 3, FTA,19/12/2008,1.740.000.000,00,0,00
IM Sabadell RMBS 3, FTA,05/12/2008,1.440.000.000,00,671.112.478,08
