IM BCC CAJAMAR 1
Distribución por LTV Actual,,,,,,,
Distribución por LTV,Número de
Préstamos,Saldo Nominal Pendiente no
Vencido,Saldo Nominal
Pendiente No
Vencido %,VTO. Residual
Medio Pond.,VTO. Inicial Medio
Pond.,Tipo Actual Medio
Pond.,LTV Actual Medio
Pond.
(Hipotecarios)
tasación menor o igual al saldo
11 224.710,82 0,03% 223 334 1,67 N/A
de cargas previas,,,,,,,
< 10 379 5.035.616,57 0,62% 122 225 1,69 7,36
10 ‐ 20 731 20.514.327,86 2,51% 170 263 1,70 15,52
20 ‐ 30 709 31.580.069,62 3,87% 207 291 1,83 25,44
30 ‐ 40 745 45.292.417,37 5,55% 238 318 1,76 35,11
40 ‐ 50 837 69.036.831,71 8,46% 270 344 1,82 45,34
50 ‐ 60 1.016 100.395.387,75 12,31% 294 366 1,91 55,15
60 ‐ 70 1.172 133.928.449,82 16,42% 317 385 1,88 65,32
70 ‐ 79 1.076 119.884.870,44 14,70% 343 389 2,44 74,29
79 ‐ 80 172 20.557.978,41 2,52% 337 400 1,83 79,45
80 ‐ 90 1.129 137.551.982,45 16,86% 344 401 1,93 84,40
90 ‐ 100 567 67.309.239,29 8,25% 345 389 2,36 94,47
100 ‐ 110 232 28.121.958,51 3,45% 337 388 2,14 104,60
110 ‐ 120 162 19.055.996,16 2,34% 320 393 1,96 114,80
120 ‐ 130 78 8.872.419,01 1,09% 308 396 1,57 124,70
130 ‐ 140 50 5.869.753,77 0,72% 289 380 1,50 134,17
140 ‐ 150 22 2.534.161,21 0,31% 300 397 1,37 144,25,,,,,,,
Total 9.088 815.766.170,77 100,00% 308 372 2,00 68,74,,,,,,,
