CARTERA OPERACIONES DE DÍA 26 DE ENERO DE 2016
CLASIFICACIÓN POR FECHA DE FORMALIZACIÓN
Año Operaciones %Operaciones Importe %Importe
2001 480 0,32% 8.422.376,51 0,06%
2002 534 0,36% 18.281.333,86 0,13%
2003 1.258 0,84% 68.985.900,31 0,48%
2004 2.942 1,96% 239.269.095,17 1,66%
2005 11.253 7,51% 1.228.652.215,12 8,52%
2006 27.902 18,61% 3.545.601.832,82 24,60%
2007 26.809 17,88% 3.113.281.671,97 21,60%
2008 17.892 11,93% 1.602.626.205,17 11,12%
2009 9.359 6,24% 760.493.362,91 5,28%
2010 13.555 9,04% 1.414.802.978,34 9,82%
2011 9.647 6,43% 782.274.425,13 5,43%
2012 6.649 4,43% 290.228.245,29 2,01%
2013 5.356 3,57% 246.533.303,24 1,71%
2014 7.302 4,87% 486.303.330,57 3,37%
2015 8.994 6,00% 608.865.685,46 4,22%
Total general 149.932 100,00% 14.414.621.961,87 100,00%
Mínimo 03/01/2001
Máximo 30/10/2015
Ponderada 08/07/2008
