,31/12/2013,30/09/2014,31/12/2015
,,,
OPERACIONES CONTINUADAS,,,
Importe neto de la cifra de negocios,7.544,5.086,8.732
Otros ingresos de explotación,25,2,247
Gastos de personal,-1.050,-837,-1.050
Otros gastos de explotación,-4.299,-3.388,-5.237
Amortización del inmovilizado,-,-,-
Deterioro y resultado por enajenaciones del inmovilizado,-,-,-
,,,
RESULTADO DE EXPLOTACIÓN,2.220,863,2.692
,,,
Ingresos financieros,-,-,-
De valores negociables y otros instrumentos financieros,-,-,-
,,,
RESULTADO FINANCIERO,-,-,-
RESULTADO ANTES DE IMPUESTOS,2.220,863,2.692
Impuestos sobre beneficios,-667,-259,-1.154
RESULTADO DEL EJERCICIO PROCEDENTE DE OPERACIONES CONTINUADAS,1.553,604,1.538
,,,
OPERACIONES INTERRUMPIDAS,-,-,-
Resultado del ejercicio procedente de operaciones interrumpidas neto de impuesto,-,-,-
RESULTADO DEL EJERCICIO,1.553,604,1.538
