Entrada sobre el valor del vehículo
(%),Número de
préstamos,Número de
préstamos
(% del total),Principal pendiente
(EUR),Principal pendiente
(% del total)
0-10,9.950,12,6%,1 26.507.365,14,9%
10-20,16.192,20,6%,2 03.458.201,23,9%
20-30,16.099,20,4%,1 80.775.599,21,2%
30-40,13.357,17,0%,1 36.914.073,16,1%
40-50,11.325,14,4%,1 09.464.534,12,9%
50-60,8.235,10,5%,7 1.649.622,8,4%
60-70,2.731,3,5%,1 8.976.533,2,2%
70-80,707,0,9%,2 .858.822,0,3%
80-90,145,0,2%,3 42.731,0,0%
90-100,4,0,0%,5 .076,0,0%
Total,78.745,100%,8 50.952.556,100%
