Plazo de concesión (meses),Número de
préstamos,Número de
préstamos
(% del total),Principal pendiente
(EUR),Principal pendiente
(% del total)
0-12,44,0,1%,8 9.799,0,0%
12-24,1.976,2,5%,6 .296.263,0,7%
24-36,4.229,5,4%,2 1.366.344,2,5%
36-48,13.769,17,5%,1 15.212.782,13,5%
48-60,24.261,30,8%,2 45.332.075,28,8%
60-72,14.672,18,6%,1 66.685.210,19,6%
72-84,7.921,10,1%,1 07.409.298,12,6%
84-96,5.200,6,6%,7 7.180.513,9,1%
96-108,1.808,2,3%,2 8.054.228,3,3%
108-120,2.991,3,8%,5 1.358.623,6,0%
120-132,1.874,2,4%,3 1.967.421,3,8%
Total,78.745,100%,8 50.952.556,100%
