Deudor,Número de
préstamos,Número de
préstamos
(% del total),Principal pendiente
(EUR),Principal pendiente
(% del total)
Deudor 1,12
5
1
1
6
1
4
4
3
1,0,02%,2 86.140,0,03%
Deudor 2,,0,01%,1 44.586,0,02%
Deudor 3,,0,00%,1 23.238,0,01%
Deudor 4,,0,00%,9 5.406,0,01%
Deudor 5,,0,01%,7 8.127,0,01%
Deudor 6,,0,00%,6 8.141,0,01%
Deudor 7,,0,01%,6 7.043,0,01%
Deudor 8,,0,01%,6 6.202,0,01%
Deudor 9,,0,00%,6 6.093,0,01%
Deudor 10,,0,00%,6 5.403,0,01%
Resto deudores,78.707,99,95%,8 49.892.176,99,88%
Total,78.745,100%,8 50.952.556,100%
