Distribución por Fecha de Revisión de los tipos de interés
Fecha de Revisión de los Número % sobre total Saldo % Saldo Saldo Vivo Tipo de interés Vida residual años Antigüedad años Plazo Total años
Saldo Inicial
tipos de interés Préstamos préstamos Vivo Vivo Medio Medio ponder. Media ponder. Media ponder media ponder

abr-16 1 0,01% 101.986,50 0,01% 101.986,50 0,51% 21,17 7,92 131.292,19 29,08
may-16 785 10,18% 91.659.814,52 9,34% 116.764,09 0,92% 25,06 6,65 112.586.500,43 31,71
jun-16 852 11,05% 105.917.845,01 10,79% 124.316,72 0,89% 25,33 6,32 129.361.430,50 31,65
jul-16 932 12,09% 125.244.108,55 12,76% 134.382,09 0,83% 25,74 6,09 153.676.152,07 31,82
ago-16 464 6,02% 63.608.069,85 6,48% 137.086,36 0,84% 25,70 6,38 77.584.995,65 32,08
sep-16 469 6,08% 61.236.642,10 6,24% 130.568,53 0,84% 25,22 6,49 74.731.053,91 31,71
oct-16 533 6,91% 77.038.839,37 7,85% 144.538,16 0,82% 25,81 6,28 93.289.628,73 32,10
nov-16 577 7,48% 73.788.258,65 7,52% 127.882,60 0,89% 25,69 6,12 90.647.748,88 31,81
dic-16 569 7,38% 70.054.966,00 7,14% 123.119,45 0,87% 25,79 6,13 84.592.176,80 31,92
ene-17 707 9,17% 96.675.357,27 9,85% 136.740,25 0,83% 25,69 5,97 117.344.706,70 31,66
feb-17 580 7,52% 70.432.056,95 7,17% 121.434,58 0,77% 25,20 6,89 86.500.541,45 32,09
mar-17 540 7,00% 61.849.370,06 6,30% 114.535,87 0,76% 24,53 6,79 76.398.661,22 31,32
abr-17 700 9,08% 84.237.283,39 8,58% 120.338,98 0,72% 25,51 6,57 102.809.400,75 32,08

Totales 7.709 100% 981.844.598,22 100% 127.363,42 0,84% 25,46 6,36 1.199.654.289,28 31,82
