RIESGO,,Riesgo Financiero,,,,,
,Riesgo,,,Riesgo,RIESGO,Riesgos,Límite
ACUMULADO,Comercial,G. Personal,G. Real/Pig.,Firma,TOTAL,Tarjetas,Especial
CLIENTE/GRUPO,,,,,,,
,,,,,,,
CONSEJO,,,,,,,1.000.000
TERRITORIAL/,5.500.000,5.500.000,6.000.000,4.500.000,6.000.000,150.000,
SEDE (2),,,,,,,
COMITÉ,,,,,,,750.000
SUPERIOR DE,4.500.000,4.500.000,4.500.000,3.000.000,4.500.000,130.000,
RIESGOS,,,,,,,
COMITÉ,,,,,,,600.000
TÉCNICO DE,(1),(1),(1),(1),(1),(1),
ADMISIÓN,,,,,,,
COMITÉ,,,,,,,500.000
,3.500.000,3.500.000,4.000.000,2.500.000,4.000.000,110.000,
CENTRAL – RED,,,,,,,
,,,,,,,
COMITÉ,,,,,,,500.000
FINANCIACIÓN,3.500.000,3.500.000,4.000.000,2.500.000,4.000.000,110.000,
MAYORISTA,,,,,,,
