,RIESGO,,Riesgo
Comercial,,Rgo Finan. Gtía.,,,,,Rgo.
Financiero
G.
Real/Pign.,Riesgo
Firma,,,RIESGO
TOTAL,,,Riesgos
Tarjetas,Límite
Especial
,ACUMUL,,,,Personal,,,,,,,,,,,,,
,ADO,,,,Per.,,,Per.,,,,,,,,,,
,CLIENTE,,,,,,,,,,,,,,,,,
,/GRUPO,,,,Físicas,,,Juríd.(1),,,,,,,,,,
NIVEL 1,,,1.000.000,500.000,,,,1.000.00,,1.500.000,,500.00,,,1.500.00,,70.000,100.000
,,,,,,,,0,,,,0,,,0,,,
NIVEL 2,,,650.000,450.000,,,750.000,,,1.000.000,,450.00,,,1.000.00,,60.000,80.000
,,,,,,,,,,,,0,,,0,,,
NIVEL 3,,,500.000,400.000,,,500.000,,,850.000,,400.00,,850.000,,,50.000,60.000
,,,,,,,,,,,,0,,,,,,
