RIESGO
ACUMULADO
CLIENTE/GRUP
O,,,Riesgo
Comerci
al,,,,Rgo Finan. Gtía.,,,,,,Rgo.,,Riesgo
Firma,,,RIESGO
TOTAL,,,Riesg
os
Tarjet
as,,,Límite
Especial
,,,,,,,Personal,,,,,,Financie,,,,,,,,,,,
,,,,,,,Per.,,,Per.,,,ro G.,,,,,,,,,,,
,,,,,,,,,,,,,Real,,,,,,,,,,,
,,,,,,,Físicas,,,Juríd.(1),,,/Pign.,,,,,,,,,,,
,Nivel 1,,,400.000,,,130.000,,,360.000,,,450.000,,,350.000,,,450.000,,,45.000,,45.000
,Nivel 2 –,,200.000,,,120.000,,,120.000,,,360.000,,,110.000,,,360.000,,,30.000,,,30.000
,Categoría A,,,,,,,,,,,,,,,,,,,,,,,
,Nivel 3 –,,125.000,,,90.000,,,90.000,,,270.000,,,80.000,,,270.000,,,25.000,,,15.000
,Categoría B,,,,,,,,,,,,,,,,,,,,,,,
,Nivel 4 –,,100.000,,,60.000,,,60.000,,,180.000,,,50.000,,,180.000,,,10.000,,,6.000
,Categoría C,,,,,,,,,,,,,,,,,,,,,,,
,Nivel 5,,,30.000,,,20.000,,,30.000,,,150.000,,,25.000,,,150.000,,,3.000,,0
