Entrada sobre el valor del vehículo
(%),Número de
préstamos,Número de
préstamos
(% del total),Principal
pendiente (EUR),Principal pendiente
(% del total)
0-10,7.754,12,65%,105.038.244,14,39%
10-20,13.255,21,62%,173.667.489,23,79%
20-30,12.713,20,74%,154.217.747,21,13%
30-40,10.405,16,97%,117.111.034,16,05%
40-50,9.555,15,59%,105.236.302,14,42%
50-60,5.832,9,51%,60.420.184,8,28%
60-70,1.432,2,34%,12.481.495,1,71%
70-80,299,0,49%,1.476.353,0,20%
80-90,60,0,10%,212.591,0,03%
90-100,1,0,00%,1.704,0,00%
>100,0,0,00%,-,0,00%
Total,61.306,100,00%,729.863.146,100,00%
