Cartera de préstamos hipotecarios al día 25.10.2016
Clasificación por margen,,,
Intervalo de margen
(en euros),Préstamos hipotecario
N.º %,s Principal pendiente
(euros) %,Margen
Ponmdeedriaod o*
Euribor 1 año,16.143 99,99,1.854.517.411,31 99,99,1,%96* 4
0,0000 - 0,4999,14 0,09,1.827.439,74 0,10,0,392
0,5000 - 0,9999,401 2,48,68.866.038,85 3,71,0,843
1,0000 - 1,4999,2.265 14,03,331.401.966,49 17,87,1,247
1,5000 - 1,9999,4.134 25,61,500.380.831,52 26,98,1,729
2,0000 - 2,4999,5.244 32,48,588.747.386,12 31,74,2,203
2,5000 - 2,9999,3.157 19,55,289.768.359,00 15,62,2,665
3,0000 - 3,4999,740 4,58,59.037.955,78 3,18,3,086
3,5000 - 3,9999,163 1,01,12.546.146,54 0,68,3,650
4,0000 - 4,4999,17 0,11,1.413.997,60 0,08,4,175
4,5000 - 4,9999,7 0,04,487.656,14 0,03,4,764
5,0000 - 5,4999,1 0,01,39.633,53 0,00,5,100
,,,
IRPH conjunto de
entidades,2 0,01,124.837,07 0,01,2,400
0,0000 - 0,4999,1 0,01,13.848,24 0,00,0,000
2,5000 - 2,9999,1 0,01,110.988,83 0,01,2,700
Total 16.145 100,00 1.854.642.248,38 100,00 1,964,,,
*Margen medio ponderado por el principal pendiente del intervalo.,,,
