Cartera de préstamos hipotecarios al día 25.10.2016
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
N.º %,,Principal pendiente
(euros) %,,%Tipo*
interés,
0,0000 - 0,4999,25 0,15,,4.165.295,70 0,22,,0,435,
0,5000 - 0,9999,594 3,68,,107.987.110,28 5,82,,0,891,
1,0000 - 1,4999,4.542 28,13,,621.712.016,28 33,52,,1,273,
1,5000 - 1,9999,4.427 27,42,,506.525.965,86 27,31,,1,763,
2,0000 - 2,4999,3.540 21,93,,349.823.950,86 18,86,,2,249,
2,5000 - 2,9999,2.038 12,62,,181.401.510,89 9,78,,2,745,
3,0000 - 3,4999,433 2,68,,37.231.930,15 2,01,,3,133,
3,5000 - 3,9999,290 1,80,,25.122.635,33 1,35,,3,727,
4,0000 - 4,4999,104 0,64,,8.554.978,43 0,46,,4,176,
4,5000 - 4,9999,75 0,46,,6.071.430,08 0,33,,4,651,
5,0000 - 5,4999,46 0,28,,3.620.581,08 0,20,,5,228,
5,5000 - 5,9999,25 0,15,,1.908.517,46 0,10,,5,662,
6,0000 - 6,4999,5 0,03,,441.096,79 0,02,,6,251,
6,5000 - 6,9999,1 0,01,,75.229,19 0,00,,6,782,
Total 16.145 100,00 1.854.642.248,38 100,00,,,,,,
Media ponderada: 1,819 %
Media simple: 1,948 %
Mínimo: 0,194 %
Máximo: 6,782 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,Media ponderada:,,,,1,819,%
,Media simple:,,,,1,948,%
,Mínimo:,,,,0,194,%
,Máximo:,,,,6,782,%
