CARTERA OPERACIONES DE DÍA 24 DE FEBRERO DE 2017
CLASIFICACIÓN POR TIPO DE INTERÉS
Tipo de Interes (%) Operaciones % Operaciones Importe % Importe
0 - 0,5 492 1,48% 63.440.085,97 2,31%
0,5 - 1 5.847 17,59% 657.786.146,78 23,99%
1 - 1,5 6.100 18,35% 593.417.186,44 21,64%
1,5 - 2 7.061 21,24% 496.583.417,05 18,11%
2 - 2,5 5.963 17,94% 564.281.118,10 20,58%
2,5 - 3 2.825 8,50% 191.898.420,92 7,00%
3 - 4 2.160 6,50% 127.471.717,97 4,65%
4 - 5 1.827 5,50% 33.896.501,90 1,24%
5 - 6 817 2,46% 9.447.618,57 0,34%
6 - 8 147 0,44% 3.701.079,25 0,13%
Total general 33.239 100,00% 2.741.923.292,95 100,00%
Mínimo 0%
Máximo 7,80%
Ponderado 1,70%
