CARTERA OPERACIONES DE DÍA 24 DE FEBRERO DE 2017
CLASIFICACIÓN POR TIPO DE INTERÉS MÁXIMO
Intervalos (%) Operaciones % Operaciones Importe % Importe
Sin Cap 29.674 89,27% 2.430.782.274,53 88,65%
2 - 3 10 0,03% 1.339.062,07 0,05%
3 - 4 1 0,00% 94.881,59 0,00%
4 - 5 1 0,00% 152.664,10 0,01%
5 - 6 8 0,02% 1.495.183,90 0,05%
6 - 7 4 0,01% 102.699,30 0,00%
7 - 8 121 0,36% 10.655.899,49 0,39%
8 - 9 2.967 8,93% 258.061.002,08 9,41%
9 - 10 339 1,02% 29.607.533,46 1,08%
10 - 11 74 0,22% 4.550.758,13 0,17%
11 - 12 12 0,04% 1.467.508,52 0,05%
12 - 21 28 0,08% 3.613.825,78 0,13%
Total general 33.239 100,00% 2.741.923.292,95 100,00%
