CARTERA OPERACIONES DE DÍA 24 DE FEBRERO DE 2017
CLASIFICACIÓN POR CC.AA DEL DEUDOR
CC.AA Deudor Operaciones % Operaciones Importe % Importe
ANDALUCIA 7.928 23,85% 554.052.627,57 20,21%
CATALUNYA 5.470 16,46% 484.009.450,96 17,65%
MADRID 4.184 12,59% 408.425.442,33 14,90%
COMUNIDAD VALENCIANA 2.952 8,88% 221.728.777,95 8,09%
EUSKADI 1.157 3,48% 137.689.542,88 5,02%
CASTILLA LA MANCHA 1.744 5,25% 129.437.366,89 4,72%
CANARIAS 1.359 4,09% 115.668.805,55 4,22%
ARAGON 1.248 3,75% 110.851.334,81 4,04%
ILLES BALEARS 990 2,98% 91.886.348,39 3,35%
GALICIA 1.139 3,43% 90.996.267,58 3,32%
CASTILLA LEON 1.139 3,43% 88.640.210,92 3,23%
MURCIA 1.185 3,57% 79.149.153,30 2,89%
NAVARRA 610 1,84% 54.967.895,10 2,00%
#N/A 364 1,10% 48.885.024,84 1,78%
EXTREMADURA 820 2,47% 46.541.949,48 1,70%
CANTABRIA 378 1,14% 28.882.069,09 1,05%
ASTURIAS 308 0,93% 28.783.171,53 1,05%
LA RIOJA 223 0,67% 18.167.409,00 0,66%
CEUTA 29 0,09% 1.896.697,04 0,07%
MELILLA 12 0,04% 1.263.747,74 0,05%
Total general 33.239 100,00% 2.741.923.292,95 100,00%
