FONDO DE TITULIZACIÓN,Fund Incorporation
Date,Initial Issuance,Outstanding Issuance
,,,as of 28/02/2017
,,(euros),(euros)
Hipotecaria (FTH) 2.000.000.000,00,,,396.237.821,30
IM Pastor 3, FTH,09/06/2005,1.000.000.000,00,246.225.331,10
IM Pastor 2, FTH,23/06/2004,1.000.000.000,00,150.012.490,20
Activos (FTA y FT) 102.528.133.206,87,,,22.110.928.795,77
IM GBP Empresas VII, FT,01/12/2016,2.500.000.000,00,2.500.000.000,00
IM Sabadell PYME 10, FT,29/07/2016,1.750.000.000,00,1.413.497.907,31
IM BCC Cajamar PYME 1, FT,22/07/2016,1.000.000.000,00,858.680.726,50
IM Marlan 1, FT,13/04/2016,47.900.000,00,215.400.000,00
IM BCC Cajamar 1, FT,14/01/2016,750.000.000,00,702.911.848,50
IM GBP MBS 3, FT,04/12/2015,900.000.000,00,857.719.663,20
IM FORTIA 1, FT,24/07/2015,400.000.000,00,110.000.000,00
IM EVO RMBS 1, FT,17/07/2015,500.000.000,00,445.904.848,89
IM Lico División, FTA,29/05/2015,58.800.000,00,27.666.268,45
IM GBP Empresas VI, FTA,25/03/2015,3.000.000.000,00,933.960.648,00
IM GEDESCO TRADE FINANCE, FTA,04/02/2015,50.000.000,00,50.000.000,00
IM AURIGA PYMES EUR 1, FTA,26/09/2014,2.000.000,00,68.000.000,00
ALPHA 3‐IM, FTA,10/01/2014,7.155.754,37,4.055.998,29
ALPHA 2‐IM, FTA,10/01/2014,40.122.044,75,0,00
ALPHA 1‐IM, FTA,10/01/2014,76.742.810,52,0,00
FAB 2013 TEIDE, FAB,20/12/2013,86.000.000,00,86.000.000,00
IM Cajamar Empresas 6, FTA,19/12/2013,95.400.000,00,0,00
FAB 2013 BULL, FAB,13/12/2013,50.363.516,00,50.363.516,00
IM BCG RMBS 2, FTA,22/11/2013,1.183.000.000,00,1.068.375.579,70
IM Cajamar Empresas 5, FTA,27/03/2013,675.000.000,00,226.001.012,00
IM Grupo Banco Popular Empresas V, FTA,27/02/2013,2.650.000.000,00,0,00
Tiber Spain, FTA,16/02/2013,428.114.081,23,602.378,20
IM CFS RMBS 1, FTA,14/12/2012,283.500.000,00,0,00
IM Citi Tarjetas 1, FTA,23/11/2012,1.000.000.000,00,1.000.000.000,00
IM Cajamar Empresas 4, FTA,21/02/2012,1.144.500.000,00,272.452.224,45
IM BES Empresas 1, FTA,16/11/2011,485.000.000,00,0,00
IM Banco Popular FTPYME 3, FTA,28/10/2011,1.300.000.000,00,0,00
IM FTPYME Sabadell 9, FTA,27/10/2011,1.500.000.000,00,0,00
IM UNNIM RMBS 1, FTA,29/07/2011,820.000.000,00,0,00
IM Grupo Banco Popular Leasing 2, FTA,17/06/2011,1.500.000.000,00,0,00
IM Caja Laboral Empresas 1, FTA,18/05/2011,294.500.000,00,285.662.562,62
Cédulas Grupo Banco Popular 5, FTA,27/04/2011,2.350.000.000,00,0,00
IM Grupo Banco Popular Empresas 4, FTA,31/03/2011,2.500.000.000,00,0,00
IM Cédulas 15, FTA,17/12/2010,1.600.000.000,00,0,00
IM Cajastur MBS 1, FTA,22/11/2010,615.000.000,00,378.329.107,20
IM Cédulas 14, FTA,24/03/2010,1.200.000.000,00,0,00
IM Banco Popular MBS 2, FTA,10/03/2010,685.000.000,00,416.672.158,00
IM BCG RMBS 1, FTA,30/10/2009,400.000.000,00,0,00
IM Sabadell Empresas 5, FTA,17/07/2009,900.000.000,00,0,00
IM Grupo Banco Popular Empresas 3, FTA,30/06/2009,2.250.000.000,00,0,00
IM Bankoa MBS 1, FTA,25/06/2009,530.000.000,00,0,00
IM Empresas Pastor 7, FTA,24/04/2009,520.000.000,00,0,00
IM Cajamar Empresas 3, FTA,28/01/2009,870.000.000,00,0,00
IM Sabadell Empresas 3, FTA,19/12/2008,1.740.000.000,00,0,00
IM Sabadell RMBS 3, FTA,05/12/2008,1.440.000.000,00,591.330.729,60
IM FTGENCAT Sabadell 4, FTA,14/11/2008,500.000.000,00,0,00
IM Banco Popular MBS 1, FTA,12/11/2008,6.000.000.000,00,0,00
IM Cajamar Empresas 2 FTPYME, FTA,08/10/2008,400.000.000,00,0,00
IM Banco Popular FTPYME 2, FTA,26/09/2008,1.000.000.000,00,0,00
IM FTPYME Sabadell 7, FTA,22/09/2008,1.000.000.000,00,0,00
Cédulas Grupo Banco Popular 4, FTA,20/06/2008,1.000.000.000,00,0,00
IM Sabadell RMBS 2, FTA,18/06/2008,1.400.000.000,00,510.615.031,50
IM Grupo Banco Popular Financiaciones 1, FTA,03/06/2008,1.100.000.000,00,0,00
IM Caja Laboral 2, FTA,23/05/2008,600.000.000,00,375.038.745,24
IM Caixa Girona Empresas 1, FTA,23/04/2008,350.000.000,00,0,00
IM Terrassa RMBS 1, FTA,22/04/2008,500.000.000,00,0,00
IM Grupo Banco Popular Leasing 1, FTA,15/02/2008,1.680.000.000,00,0,00
IM Cajamar 6, FTA,06/02/2008,2.000.000.000,00,954.606.834,49
IM Grupo Banco Popular Empresas 2, FTA,29/11/2007,2.500.000.000,00,0,00
IM FTGENCAT Sabadell 3, FTA,28/11/2007,350.000.000,00,0,00
IM Cédulas 12, FTA,16/11/2007,1.050.000.000,00,0,00
IM Cajamar Empresas 1, FTA,14/11/2007,1.080.000.000,00,0,00
IM Sabadell Empresas 1, FTA,24/10/2007,1.000.000.000,00,0,00
IM Goya Hipotecario I, FTA,17/10/2007,1.900.000.000,00,0,00
IM Cajamar 5, FTA,12/09/2007,1.015.000.000,00,424.643.563,30
IM Préstamos Fondos Cédulas, FTA,25/07/2007,351.900.000,00,33.483.389,64
IM Grupo Banco Popular FTPYME II, FTA,02/07/2007,2.039.000.000,00,0,00
White Tower Europe 2007‐1, FTA,22/05/2007,107.835.000,00,0,00
Cédulas Grupo Banco Popular 3, FTA,23/04/2007,2.000.000.000,00,2.000.000.000,00
IM Cédulas 10, FTA,16/02/2007,1.300.000.000,00,1.300.000.000,00
IM Caja Laboral 1, FTA,04/12/2006,910.800.000,00,285.662.562,62
IM Grupo Banco Popular FTPYME I, FTA,29/11/2006,2.030.000.000,00,0,00
IM Grupo Banco Popular Empresas 1, FTA,18/09/2006,1.832.400.000,00,0,00
IM Cajamar 4, FTA,13/09/2006,1.012.000.000,00,380.615.318,10
IM Terrassa MBS 1, FTA,19/06/2006,525.000.000,00,51.491.134,30
IM FTGENCAT Sabadell 2, FTA,29/06/2006,500.000.000,00,0,00
IM Cédulas 9, FTA,06/06/2006,1.275.000.000,00,0,00
IM Pastor 4, FTA,05/06/2006,920.000.000,00,294.091.236,20
Cédulas Grupo Banco Popular 2, FTA,07/04/2006,3.000.000.000,00,0,00
IM Cédulas 7, FTA,28/03/2006,1.250.000.000,00,1.250.000.000,00
IM Cajamar 3, FTA,08/03/2006,1.215.600.000,00,363.814.257,00
INTERMONEY MASTER CÉDULAS, FTA / IM Cédulas M1,29/11/2005,1.655.000.000,00,0,00
IM Terrassa 1 FTGENCAT, FTA,28/11/2005,320.000.000,00,0,00
IM Ceres 2 Cajamar, FTA,25/11/2005,400.000.000,00,0,00
IM Cédulas 5, FTA,10/06/2005,1.250.000.000,00,1.250.000.000,00
IM Cédulas 4, FTA,08/03/2005,2.075.000.000,00,0,00
IM Banco Popular FTPYME 1, FTA,22/12/2004,2.000.000.000,00,0,00
IM FTPYME Sabadell 3, FTA,18/11/2004,600.000.000,00,0,00
IM Cédulas 3, FTA,16/11/2004,1.060.000.000,00,0,00
IM Cajamar 1, FTA,23/07/2004,370.000.000,00,73.279.546,47
IM Cédulas 2, FTA,07/06/2004,1.475.000.000,00,0,00
IM Ceres 1 Cajamar, FTA,04/06/2004,450.500.000,00,0,00
IM Cédulas 1 Grupo Banco Popular, FTA,05/02/2004,2.000.000.000,00,0,00
TOTAL,,104.528.133.206,87,22.507.166.617,07
