Cartera de préstamos seleccionados al día 06/03/2017
Clasificación por Deudor,
,Préstamos Principal pendiente
N.º % (euros) %
Deudor 1,1 0,0006 97.334,34 0,0068
Deudor 2,2 0,0012 94.854,97 0,0067
Deudor 3,1 0,0006 93.805,82 0,0066
Deudor 4,1 0,0006 90.846,68 0,0064
Deudor 5,2 0,0012 88.943,59 0,0062
Deudor 6,1 0,0006 87.198,92 0,0061
Deudor 7,1 0,0006 85.497,64 0,0060
Deudor 8,2 0,0012 84.133,69 0,0059
Deudor 9,2 0,0012 83.833,48 0,0059
Deudor 10,2 0,0012 83.107,78 0,0058
Resto Deudores 157.534,169.215 99,9911 1.423.512.217,53 99,9375
Total 157.544 deudores 169.230 100,00 1.424.401.774,44 100,00,
