Cartera de préstamos seleccionados al día 06/03/2017
Clasificación por margen,
Intervalo de margen,%Tipo* Margen*
Préstamos Principal pendiente
medio
N.º % (euros) % interés Ponderado
De préstamos a tipo FIJO,156.487 92,47 1.252.541.459,58 87,93 7,371 -
,
De préstamos a tipo de interés
variable (sobre índice Euribor a
1 año),12.743 7,53 171.860.314,86 12,07 4,036 5,594
≥3,50 y <4,00,24 0,01 674.798,72 0,05 3,655 3,704
≥4,00 y <4,50,6.156 3,64 79.216.146,95 5,56 3,950 4,000
≥4,50 y <5,00,3 0,00 22.998,22 0,00 4,358 4,500
≥5,00 y <5,50,2 0,00 38.617,79 0,00 5,042 5,052
≥5,50 y <6,00,7 0,00 82.765,18 0,01 5,726 5,500
≥6,00 y <6,50,225 0,13 1.571.241,20 0,11 5,962 6,000
≥6,50 y <7,00,1 0,00 4.523,75 0,00 6,420 6,500
≥7,00 y <7,50,6.325 3,74 90.249.223,05 6,34 4,079 7,000
Total 169.230 100,00 1.424.401.774,44 100,00,
*Tipo de interés y margen son medias ponderadas por el principal pendiente del intervalo,
