Cartera de préstamos seleccionados al día 06/03/2017
Clasificación por tipo de empleo del deudor,
,Préstamos Principal pendiente
N.º % (euros) %
Empleado por cuenta ajena con contrato
indefinido,82.203 48,57 695.299.365,10 48,81
Empleado por cuenta ajena con otros
contratos distintos del indefinido,22.882 13,52 178.238.599,93 12,51
Autónomo,10.830 6,40 101.166.749,51 7,10
Funcionario,19.546 11,55 229.012.218,25 16,08
Desempleado,4.453 2,63 29.076.620,18 2,04
Estudiante,1.528 0,90 9.608.782,06 0,67
Pensionista,23.657 13,98 154.228.385,33 10,83
Rentista,594 0,35 4.012.005,61 0,28
Otros,3.537 2,09 23.759.048,47 1,67
Total 169.230 100,00 1.424.401.774,44 100,00,
