CARTERA OPERACIONES DE DÍA 22 DE JUNIO DE 2017
CLASIFICACIÓN POR FINALIDAD
Finalidad Operaciones % Operaciones Importe % Importe
CONSUMO* 118.385 36,59% 590.699.148,35 20,17%
HOGAR (MOBILIARIO, DECORACIóN, EQUIPAMIENTO, ETC.) 41.591 12,85% 529.287.516,29 18,07%
VEHICULOS. ADQUISICION - REPARACION** 46.952 14,51% 512.891.483,89 17,51%
FAMILIAR (BODAS, NACIMIENTOS, DEFUNCIONES, ETC.) 44.250 13,67% 397.895.498,68 13,58%
DEUDAS, IMPUESTOS, PRIMAS DE SEGUROS 20.294 6,27% 293.535.762,61 10,02%
OBRAS DE RAHABILIT. O AMPLIACIÓN DE VIVIENDA 15.143 4,68% 181.324.507,43 6,19%
ADQUIS.OTROS BIENES CONSUMO Y SERVICIOS CORRIENTES 12.466 3,85% 167.103.737,78 5,71%
OTROS 7.778 2,40% 100.971.762,14 3,45%
OTROS GASTOS E INVERSIONES FAMILIARES 6.525 2,02% 66.320.131,72 2,26%
EDUCACION Y CULTURA. ESTUDIO, PROMOCION PROF. 4.322 1,34% 44.569.810,76 1,52%
MANTENIMIENTO DE LA SALUD 5.880 1,82% 44.416.935,19 1,52%
Total general 323.586 100,00% 2.929.016.294,84 100,00%
