CARTERA OPERACIONES DE DÍA 22 DE JUNIO DE 2017
CLASIFICACIÓN POR CC.AA DEL TITULAR
CC.AA Operaciones % Operaciones Importe % Importe
CATALUNYA 111.857 34,57% 995.963.868,81 34,00%
ANDALUCIA 54.535 16,85% 496.479.227,44 16,95%
MADRID 39.764 12,29% 372.351.626,69 12,71%
COMUNIDAD VALENCIANA 25.308 7,82% 242.650.625,95 8,28%
CANARIAS 20.848 6,44% 148.246.232,94 5,06%
ILLES BALEARS 12.950 4,00% 118.981.809,89 4,06%
EUSKADI 8.448 2,61% 83.690.110,13 2,86%
CASTILLA LEON 9.219 2,85% 82.255.489,29 2,81%
GALICIA 8.222 2,54% 81.131.970,79 2,77%
CASTILLA LA MANCHA 6.780 2,10% 67.411.155,80 2,30%
NAVARRA 5.832 1,80% 57.431.654,11 1,96%
MURCIA 5.251 1,62% 50.527.397,95 1,73%
ARAGON 4.791 1,48% 43.771.657,35 1,49%
CANTABRIA 2.755 0,85% 24.376.167,35 0,83%
ASTURIAS 2.600 0,80% 23.457.666,48 0,80%
EXTREMADURA 2.566 0,79% 23.314.382,12 0,80%
LA RIOJA 1.211 0,37% 11.012.061,97 0,38%
CEUTA 418 0,13% 4.143.085,49 0,14%
MELILLA 231 0,07% 1.820.104,29 0,06%
Total general 323.586 100,00% 2.929.016.294,84 100,00%
