Fondo de Titulización,,,Fecha de
constitución,,,,Emisión de,,Saldo vivo de Bonos a
31/03/2024,,,,,,,,,Saldo vivo de Bonos a,,,,,,,,,Saldo vivo de
Bonos a 31/12/2022,
,,,,,,,Bonos,,,,,,,,,,,31/12/2023,,,,,,,,,,
,,,,,,,EUR,,EUR,,,∆%,,,,,,EUR,,,∆%,,,,,,EUR,
,Cars Alliance Auto Loans Spain,,04.11.2022,,,1.227.700.000,,,1.227.700.000,,,,,0,00%,,,,1.227.700.000,,,,,0,00%,,,,1.227.700.000,00,
,2022 FT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SABADELL CONSUMO 2 FT,,,08.07.2022,,,759.100.000,,395.212.575,,,,,,-10,41%,,,,441.140.475,,,,,-33,09%,,,,659.326.603,86
,BBVA Consumer Auto 2022-1 FT,,,13.06.2022,,,1.205.500.000,,738.832.944,,,,,,-8,18%,,,,804.613.932,,,,,-26,26%,,,,1.091.163.948,80
,BBVA RMBS 21 FT,,,21.03.2022,,,12.400.000.000,,9.857.497.304,,,,,,-3,37%,,,,10.201.737.461,,,,,-11,69%,,,,11.552.655.064,40
,BBVA RMBS 20 FT,,,14.06.2021,,,2.500.000.000,,1.910.639.740,,,,,,-2,61%,,,,1.961.909.925,,,,,-10,27%,,,,2.186.531.620,00
,BBVA CONSUMO 11 FT,,,15.03.2021,,,2.500.000.000,,739.083.430,,,,,,-11,27%,,,,832.941.960,,,,,-35,36%,,,,1.288.658.425,00
,BBVA Leasing 2 FT(1),,,27.07.2020,,,2.100.000.000,,0,,,,,,0,00%,,,,0,,,,,-100,00%,,,,768.066.156,90
,Rural Hipotecario XIX FT,,,19.06.2020,,,404.000.000,,260.514.215,,,,,,-4,61%,,,,273.109.924,,,,,-17,08%,,,,329.358.275,30
,BBVA Consumer Auto 2020-1 FT,,,15.06.2020,,,1.105.500.000,,506.223.235,,,,,,-10,53%,,,,565.803.981,,,,,-33,00%,,,,844.525.418,55
,BBVA RMBS 19 FT(1),,,25.11.2019,,,2.000.000.000,,1.289.042.120,,,,,,14,04%,,,,1.130.381.280,,,,,-25,17%,,,,1.510.676.480,00
,SABADELL CONSUMO 1 FT,,,20.09.2019,,,1.087.000.000,,87.239.333,,,,,,-16,75%,,,,104.788.036,,,,,-49,56%,,,,207.759.527,40
,BBVA CONSUMO 10 FT,,,08.07.2019,,,2.010.000.000,,494.172.157,,,,,,-11,91%,,,,560.974.177,,,,,-36,98%,,,,890.113.265,00
,Rural Hipotecario XVIII FT,,,19.12.2018,,,255.000.000,,133.618.723,,,,,,-9,47%,,,,147.602.795,,,,,-16,26%,,,,176.266.032,65
,BBVA Consumer Auto 2018-FT,,,18.06.2018,,,804.000.000,,108.948.276,,,,,,-14,05%,,,,126.757.340,,,,,-43,05%,,,,222.594.121,20
,BBVA Consumo 9 FT,,,27.03.2017,,,1.375.000.000,,0,,,,,,0,00%,,,,0,,,,,-100,00%,,,,198.670.181,44
,BBVA RMBS 17 FT,,,21.11.2016,,,1.800.000.000,,853.897.392,,,,,,25,95%,,,,677.982.730,,,,,-37,14%,,,,1.078.566.883,20
,BBVA RMBS 14 FTA,,,24.11.2014,,,700.000.000,,269.970.982,,,,,,-3,56%,,,,279.943.281,,,,,-11,94%,,,,317.905.614,60
,Rural Hipotecario XVII FTA(1),,,03.07.2014,,,101.124.000,,15.706.170,,,,,,0,00%,,,,15.706.170,,,,,-35,67%,,,,24.413.328,00
