,Bancaja 13 FTA,,,09.12.2008,,,2.895.000.000,,967.313.573,,,-2,72%,,,994.377.831,,,-10,19%,,,1.107.167.704,17
,Rural Hipotecario X FTA,,,25.06.2008,,,1.880.000.000,,0,,,-100,00%,,,311.889.836,,,-15,12%,,,367.466.689,76
,BBVA RMBS 5 FTA,,,26.05.2008,,,5.000.000.000,,1.476.673.450,,,-3,22%,,,1.525.770.632,,,-11,18%,,,1.717.820.165,00
,BBVA RMBS 3 FTA,,,23.07.2007,,,3.000.000.000,,982.470.636,,,-3,55%,,,1.018.621.713,,,-11,31%,,,1.148.539.745,25
,Bancaja 11 FTA,,,16.07.2007,,,2.022.900.000,,465.615.248,,,-3,40%,,,481.994.864,,,-14,36%,,,562.845.273,40
,BBVA Leasing 1 FTA,,,25.06.2007,,,2.500.000.000,,34.952.126,,,0,00%,,,34.952.125,,,-1,55%,,,35.501.521,07
,BBVA-6 FTPYME FTA,,,11.06.2007,,,1.500.000.000,,12.027.173,,,-4,66%,,,12.614.845,,,-2,92%,,,12.993.999,30
,MBS Bancaja 4 FTA,,,27.04.2007,,,1.873.100.000,,214.335.121,,,-4,14%,,,223.593.919,,,-16,37%,,,267.362.117,54
,Rural Hipotecario IX FTA,,,28.03.2007,,,1.515.000.000,,208.282.382,,,-4,35%,,,217.764.867,,,-15,36%,,,257.285.198,40
,BBVA RMBS 2 FTA,,,26.03.2007,,,5.000.000.000,,930.072.805,,,-4,13%,,,970.121.970,,,-15,00%,,,1.141.298.603,75
,HIPOCAT 11 FTA(2),,,09.03.2007,,,1.628.000.000,,239.159.827,,,-2,97%,,,246.481.825,,,-10,04%,,,273.980.265,60
,BBVA RMBS 1 FTA,,,19.02.2007,,,2.500.000.000,,493.134.532,,,-4,56%,,,516.707.592,,,-15,16%,,,609.049.910,00
,Bancaja 10 FTA,,,26.01.2007,,,2.631.000.000,,495.140.950,,,-3,39%,,,512.516.100,,,-13,41%,,,591.867.700,00
,Bankinter 13 FTA,,,20.11.2006,,,1.570.000.000,,236.488.600,,,-5,65%,,,250.660.150,,,-19,77%,,,312.422.192,75
,Valencia Hipotecario 3 FTA,,,15.11.2006,,,911.000.000,,99.456.230,,,-4,82%,,,104.487.902,,,-18,09%,,,127.562.517,64
,HIPOCAT 10 FTA(2),,,05.07.2006,,,1.525.500.000,,165.566.876,,,-4,56%,,,173.486.202,,,-15,12%,,,204.395.785,08
,Rural Hipotecario VIII FTA,,,26.05.2006,,,1.311.700.000,,117.643.537,,,-5,13%,,,124.000.060,,,-16,74%,,,148.923.064,41
,MBS Bancaja 3 FTA,,,03.04.2006,,,810.000.000,,71.048.405,,,-4,73%,,,74.573.441,,,-17,45%,,,90.340.846,24
,Bancaja 9 FTA,,,02.02.2006,,,2.022.600.000,,243.896.320,,,-3,68%,,,253.218.334,,,-13,90%,,,294.106.370,00
,EdT FTPYME Pastor 3 FTA,,,05.12.2005,,,520.000.000,,950.565,,,-6,08%,,,1.012.126,,,-26,54%,,,1.377.704,02
,Bankinter 11 FTH,,,28.11.2005,,,900.000.000,,102.648.380,,,-5,36%,,,108.456.890,,,-19,73%,,,135.122.469,53
,HIPOCAT 9 FTA(2),,,25.11.2005,,,1.016.000.000,,109.410.657,,,-3,77%,,,113.699.243,,,-13,56%,,,131.538.185,86
,Rural Hipotecario Global I FTA,,,18.11.2005,,,1.078.000.000,,0,,,0,00%,,,0,,,-100,00%,,,99.944.641,54
,Bankinter 10 FTA,,,27.06.2005,,,1.740.000.000,,0,,,-100,00%,,,169.476.231,,,-19,92%,,,211.632.517,20
,HIPOCAT 8 FTA(2),,,06.05.2005,,,1.500.000.000,,0,,,0,00%,,,0,,,-100,00%,,,142.524.495,50
,Bancaja 8 FTA,,,22.04.2005,,,1.680.100.000,,146.087.118,,,-4,64%,,,153.195.195,,,-21,93%,,,196.217.240,13
,Bankinter 9 FTA,,,14.02.2005,,,1.035.000.000,,0,,,0,00%,,,0,,,-100,00%,,,112.700.482,34
,,,,,,,,,,,,,,,,,,,,,
