Cartera de Préstamos Hipotecarios a 12/02/2024,,,,
Clasificación por año de formalización del préstamo,,,,
,,,,
Año de formalización del préstamo,Operaciones,,Capital pendiente,
hipotecario,Nº,%,(euros),%
1996,1 0,01,,31.709,75 0,00,
1997,2 0,02,,59.205,81 0,01,
1998,4 0,04,,161.704,84 0,02,
1999,6 0,05,,132.213,61 0,02,
2000,9 0,08,,327.351,40 0,04,
2001,37 0,33,,708.971,79 0,09,
2002,92 0,81,,2.237.463,20 0,30,
2003,200 1,77,,6.041.608,74 0,80,
2004,231 2,04,,8.660.319,12 1,15,
2005,369 3,26,,16.353.288,84 2,17,
2006,549 4,85,,32.723.056,13 4,34,
2007,565 4,99,,34.298.081,09 4,55,
2008,414 3,66,,25.160.647,11 3,34,
2009,241 2,13,,12.622.999,77 1,67,
2010,290 2,56,,16.137.233,37 2,14,
2011,239 2,11,,12.307.259,55 1,63,
2012,252 2,23,,13.723.538,80 1,82,
2013,145 1,28,,7.189.631,44 0,95,
2014,285 2,52,,14.615.465,15 1,94,
2015,563 4,98,,31.266.870,52 4,15,
2016,634 5,60,,35.430.373,58 4,70,
2017,539 4,76,,31.128.420,23 4,13,
2018,768 6,79,,51.618.771,42 6,85,
2019,1.169 10,33,,84.575.522,74 11,22,
2020,1.472 13,01,,115.652.323,02 15,34,
2021,1.145 10,12,,96.638.984,54 12,82,
2022,808 7,14,,75.288.129,11 9,99,
2023,283 2,50,,28.692.033,68 3,81,
Total,11.312 100,00,,753.783.178,35 100,00,
Antigüedad media ponderada
Antigüedad máxima
Antigüedad mínima,7,14 Años
27,16 Años
0,62 Años,,,
