Cartera de Préstamos Hipotecarios a 12/02/2024,,,,,
Clasificación por margen actual sobre el índice de referencia,,,,,
Intervalo de margen,Préstamos Hipotecarios,,Principal pendiente,,Margen
,,,,,medio
,,,,,
(en euros),N.º,%,(euros),%,ponderado(1)
Euribor 1 año,11.308 99,96,,753.690.573,14 99,99 1,565,,
0,0000 - 0,4999,330 2,92,,19.678.569,36 2,61 0,410,,
0,5000 - 0,9999,2.382 21,06,,151.090.473,69 20,04 0,734,,
1,0000 - 1,4999,2.796 24,72,,197.802.939,42 26,24 1,229,,
1,5000 - 1,9999,2.523 22,30,,167.667.207,43 22,24 1,724,,
2,0000 - 2,4999,2.310 20,42,,165.495.084,39 21,96 2,291,,
2,5000 - 2,9999,634 5,60,,37.332.276,70 4,95 2,641,,
3,0000 - 3,4999,173 1,53,,8.037.338,82 1,07 3,103,,
3,5000 - 3,9999,94 0,83,,4.202.389,63 0,56 3,546,,
4,0000 - 4,4999,40 0,35,,1.389.529,87 0,18 4,038,,
4,5000 - 4,9999,11 0,10,,465.940,71 0,06 4,500,,
5,0000 - 5,4999,10 0,09,,342.489,26 0,05 5,000,,
5,5000 - 5,9999,3 0,03,,75.606,00 0,01 5,500,,
6,0000 - 6,4999,1 0,01,,33.112,93 0,00 6,000,,
7,5000 - 7,9999,1 0,01,,77.614,93 0,01 7,500,,
IRPH Conjunto Entidades,2 0,02,,54.920,22 0,01 0,369,,
0,0000 - 0,9999,2 0,02,,54.920,22 0,01 0,369,,
M. Secundario Deuda
Pública 2-6 años,2 0,02,,37.684,99 0,01 0,750,,
0,0000 - 0,9999,2 0,02,,37.684,99 0,01 0,750,,
Total 11.312 100,00 753.783.178,35 100,00 1,565,,,,,
Margen medio: 1,556
Margen máximo: 7,500
Margen mínimo: 0,131,,,,,
(1) Margen medio ponderado por el principal pendiente del intervalo. Dicho margen medio ponderado ha sido
calculado teniendo en cuenta las bonificaciones al margen vigentes a la fecha de selección de la cartera.,,,,,
