Cartera de Préstamos Hipotecarios a 12/02/2024,,,,,
Clasificación por límite máximo aplicables al tipo de interés (cap),,,,,
,,,,,
,Operaciones,,Capital pendiente,,%Tipo(1)
Intervalo % Tipo Interés,,,,,
,Nº,%,(euros),%,Interés máximo
,,,,,
Sin tipo de interés máximo,8.302 73,39,,599.190.577,60 79,49,,-
7.01 - 8.00,11 0,10,,369.549,36 0,05,,8,000
8.01 - 9.00,31 0,27,,1.004.396,17 0,13,,8,961
9.01 - 10.00,7 0,06,,395.346,02 0,05,,10,000
10.01 - 11.00,9 0,08,,511.565,23 0,07,,11,000
11.01 - 12.00,194 1,71,,11.610.465,70 1,54,,12,000
12.01 - 13.00,23 0,20,,1.071.879,31 0,14,,13,000
13.01 - 14.00,26 0,23,,1.013.640,24 0,13,,14,000
14.01 - 15.00,1.145 10,12,,68.077.402,73 9,03,,15,000
15.01 - 16.00,312 2,76,,16.459.375,67 2,18,,16,000
17.01 - 18.00,9 0,08,,378.423,02 0,05,,18,000
18.01 - 19.00,59 0,52,,3.236.972,60 0,43,,19,000
25.01 - 30.00,1.184 10,47,,50.463.584,70 6,69,,29,999
Total 11.312 100,00 753.783.178,35 100,00,,,,,
(1) Tipo de interés máximo medio ponderado por el principal pendiente, de aquellos Préstamos Hipotecarios
que tienen fijado un tipo de interés máximo (Cap).,,,,,
