Cartera de Préstamos Hipotecarios a 12/02/2024,,,,,,,,,
Clasificación por la fecha vencimiento final,,,,,,,,,
,,,,,,,,,
,Préstamos Hipotecarios,,,Principal pendiente,,,,Vida residual m.p.(1),
Año de amortización Final,Nº,,%,(euros),,%,,Meses,Fecha
,,,,,,,,,
,,,,,,,,,
2025,49 0,43,,,487.782,45 0,06,,,,19,13 16/09/2025,
2026,116 1,03,,,1.828.766,65 0,24,,,,29,60 31/07/2026,
2027,177 1,56,,,3.529.009,16 0,47,,,,40,91 10/07/2027,
2028,252 2,23,,,5.317.622,75 0,71,,,,53,16 17/07/2028,
2029,271 2,40,,,7.063.006,95 0,94,,,,64,82 07/07/2029,
2030,322 2,85,,,9.676.453,62 1,28,,,,76,62 30/06/2030,
2031,357 3,16,,,12.450.562,15 1,65,,,,88,77 05/07/2031,
2032,362 3,20,,,14.548.282,96 1,93,,,,100,79 05/07/2032,
2033,351 3,10,,,14.489.740,60 1,92,,,,112,81 05/07/2033,
2034,381 3,37,,,16.432.002,70 2,18,,,,125,10 14/07/2034,
2035,459 4,06,,,23.145.969,63 3,07,,,,137,06 13/07/2035,
2036,531 4,69,,,27.748.777,55 3,68,,,,149,00 10/07/2036,
2037,396 3,50,,,23.195.032,80 3,08,,,,160,51 25/06/2037,
2038,347 3,07,,,20.701.573,96 2,75,,,,172,40 22/06/2038,
2039,379 3,35,,,22.142.100,62 2,94,,,,185,23 17/07/2039,
2040,438 3,87,,,27.076.878,20 3,59,,,,196,81 03/07/2040,
2041,431 3,81,,,29.244.782,05 3,88,,,,208,90 06/07/2041,
2042,338 2,99,,,23.283.163,45 3,09,,,,220,93 07/07/2042,
2043,282 2,49,,,20.775.391,08 2,76,,,,232,54 25/06/2043,
2044,388 3,43,,,28.778.026,92 3,82,,,,245,33 18/07/2044,
2045,521 4,61,,,38.749.555,09 5,14,,,,257,20 14/07/2045,
2046,473 4,18,,,38.547.620,54 5,11,,,,268,58 25/06/2046,
2047,444 3,93,,,36.104.469,54 4,79,,,,280,75 30/06/2047,
2048,451 3,99,,,40.787.883,23 5,41,,,,292,40 19/06/2048,
2049,630 5,57,,,56.284.786,92 7,47,,,,305,27 15/07/2049,
2050,770 6,81,,,72.119.648,06 9,57,,,,317,75 30/07/2050,
2051,570 5,04,,,54.580.853,52 7,24,,,,326,98 07/05/2051,
2052,470 4,15,,,47.368.510,22 6,28,,,,342,42 18/08/2052,
2053,140 1,24,,,14.981.429,55 1,99,,,,348,87 02/03/2053,
2054,7 0,06,,,1.283.796,84 0,17,,,,362,81 01/05/2054,
2055,2 0,02,,,298.186,71 0,04,,,,379,21 11/09/2055,
2056,44 0,39,,,5.047.602,70 0,67,,,,389,32 15/07/2056,
2057,113 1,00,,,11.060.881,84 1,47,,,,403,56 21/09/2057,
2058,50 0,44,,,4.653.027,34 0,62,,,,407,80 28/01/2058,
Total 11.312 100,00 753.783.178,35 100,00,,,,,,,,,
Media pon d erada: 246,49 23/08/2044
Media simple: 212,73 30/10/2041
Mínimo: 12,82 08/03/2025
Máximo: 408,85 01/03/2058
(1) Vida residual a la fecha de vencimiento final (en meses y fecha) son medias ponderadas por el capital pendiente de
las operaciones que tienen el vencimiento final en el año correspondiente.,,,,,,,,,
