Cartera de Préstamos Hipotecarios a 12/02/2024,,,,
Clasificación geográfica en función de la ubicación de la garantía hipotecaria,,,,
,,,,
,Préstamos Hipotecarios,,Principal pendiente,
Comunidad Autónoma,Nº,%,(euros),%
,,,,
,,,,
Extremadura,3.514 31,06,,240.970.369,89 31,97,
Islas Canarias,2.512 22,21,,192.567.678,90 25,55,
Aragón,2.115 18,70,,122.854.029,73 16,30,
Castilla León,2.278 20,14,,119.943.975,80 15,91,
Madrid,191 1,69,,23.818.458,57 3,16,
Andalucía,161 1,42,,12.834.191,49 1,70,
Asturias,91 0,80,,12.738.652,78 1,69,
Cataluña,126 1,11,,8.769.938,60 1,16,
La Rioja,166 1,47,,8.286.706,66 1,10,
Galicia,66 0,58,,3.135.082,23 0,42,
Castilla La Mancha,33 0,29,,2.988.130,05 0,40,
Comunidad Valenciana,33 0,29,,2.007.041,26 0,27,
Islas Baleares,4 0,04,,587.692,04 0,08,
País Vasco,4 0,04,,548.343,27 0,07,
Cantabria,7 0,06,,513.532,74 0,07,
Murcia,4 0,04,,478.681,93 0,06,
Navarra,5 0,04,,441.120,88 0,06,
Melilla,2 0,02,,299.551,53 0,04,
Total 11.312 100,00 753.783.178,35 100,00,,,,
