Cartera de Préstamos Hipotecarios al día 12/02/2024,,,,,
,,,,,
Clasificación por LTV (relación (%) principal pendiente /Valor Tasación inicial ECO),,,,,
,,,,,
,,,,,
,Préstamos hipotecarios,,Principal pendiente,,
Intervalos Relación,,,,,% LTV*
,,,,,
,N.º,%,(euros),%,
0,00 - 4,99,72 0,64,,730.877,81 0,10,,3,94
5,00 - 9,99,280 2,48,,5.077.069,32 0,67,,8,12
10,00 - 14,99,462 4,08,,10.812.549,40 1,43,,12,60
15,00 - 19,99,513 4,54,,15.623.121,63 2,07,,17,72
20,00 - 24,99,590 5,22,,22.104.851,83 2,93,,22,50
25,00 - 29,99,671 5,93,,31.170.532,07 4,14,,27,63
30,00 - 34,99,716 6,33,,38.582.122,03 5,12,,32,56
35,00 - 39,99,710 6,28,,39.739.539,04 5,27,,37,59
40,00 - 44,99,688 6,08,,42.497.439,81 5,64,,42,49
45,00 - 49,99,769 6,80,,49.586.459,77 6,58,,47,52
50,00 - 54,99,721 6,37,,50.423.881,60 6,69,,52,58
55,00 - 59,99,871 7,70,,65.520.544,98 8,69,,57,39
60,00 - 64,99,952 8,42,,72.917.614,39 9,67,,62,58
65,00 - 69,99,1.104 9,76,,92.356.337,64 12,25,,67,57
70,00 - 74,99,1.167 10,32,,106.687.930,95 14,15,,72,59
75,00 - 79,99,683 6,04,,70.512.844,72 9,35,,77,23
80,00 - 84,99,212 1,87,,23.787.201,79 3,16,,81,94
85,00 - 89,99,87 0,77,,10.220.772,57 1,36,,86,81
90,00 - 94,99,34 0,30,,4.188.462,30 0,56,,92,12
95,00 - 99,99,10 0,09,,1.243.024,70 0,16,,96,91
Total 11.312 100,00 753.783.178,35 100,00,,,,,
Media Ponderada: 56,35 %
Media Simple: 48,90 %
Mínimo: 0,73 %
Máximo: 98,99 %
*LTV del inte rva lo son media s ponderadas p or el princip al pendiente.,,,,,
