Cartera de préstamos hipotecarios al día 12.05.2008
Clasificación por periodo de carencia de amortización del principal,,
Vencimiento del periodo de
carencia de principal,Préstamos
hipotecarios
%,Principal pendiente
(euros) %
Sin Carencia,29.179 93,23,5.023.025.765,07 92,02
Del 31/05/2008 al 30/06/2008,223 0,71,44.589.013,24 0,82
Del 01/7/2008 al 30/09/2008,123 0,39,25.943.363,45 0,48
Del 01/10/2008 al 31/12/2008,160 0,51,33.375.909,26 0,61
Del 01/01/2009 al 31/03/2009,64 0,20,14.013.606,68 0,26
Del 01/04/2009 al 30/06/2009,155 0,50,31.765.537,76 0,58
Del 01/7/2009 al 30/09/2009,90 0,29,20.954.538,10 0,38
Del 01/10/2009 al 31/12/2009,123 0,39,25.525.963,41 0,47
Del 01/01/2010 al 31/03/2010,120 0,38,25.344.264,73 0,46
Del 01/04/2010 al 30/06/2010,279 0,89,55.458.339,14 1,02
Del 01/7/2010 al 30/09/2010,176 0,56,34.415.452,05 0,63
Del 01/10/2010 al 31/12/2010,165 0,53,31.917.265,89 0,58
Del 01/01/2011 al 31/03/2011,6 0,02,1.299.421,60 0,02
Del 01/04/2011 al 30/06/2011,2 0,01,600.000,00 0,01
Del 01/7/2011 al 30/09/2011,1 0,00,177.869,41 0,00
