Cartera de préstamos hipotecarios al día 12.05.2008
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
3,50 - 3,74,4 0,01,,981.031,77 0,02,,3,67,
3,75 - 3,99,78 0,25,,16.543.428,72 0,30,,3,85,
4,00 - 4,24,1 0,00,,199.758,17 0,00,,4,12,
4,25 - 4,49,70 0,22,,15.439.380,10 0,28,,4,33,
4,50 - 4,74,108 0,35,,28.641.468,97 0,52,,4,63,
4,75 - 4,99,4.387 14,02,,828.606.586,45 15,18,,4,93,
5,00 - 5,24,9.579 30,61,,1.748.386.282,82 32,03,,5,14,
5,25 - 5,49,9.926 31,72,,1.665.668.652,82 30,52,,5,35,
5,50 - 5,74,5.366 17,15,,862.759.171,01 15,81,,5,59,
5,75 - 5,99,1.408 4,50,,230.483.045,35 4,22,,5,83,
6,00 - 6,24,270 0,86,,44.967.190,99 0,82,,6,08,
6,25 - 6,49,68 0,22,,11.459.448,64 0,21,,6,34,
6,50 - 6,74,26 0,08,,3.617.323,24 0,07,,6,58,
6,75 - 6,99,5 0,02,,534.133,72 0,01,,6,80,
7,00 - 7,24,1 0,00,,124.402,99 0,00,,7,16,
Total 31.297 100,00 5.458.411.305,76 100,00,,,,,,
Media ponderada: 5,26 %
Media simple: 5,28 %
Mínimo: 3,60 %
Máximo: 7,16 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,Media ponderada:,,,,5,26,%
,Media simple:,,,,5,28,%
,Mínimo:,,,,3,60,%
,Máximo:,,,,7,16,%
