Cartera de préstamos hipotecarios al día 12.05.2008
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2012,3 0,01,291.193,01 0,01,53,95 9/11/2012
2013,1 0,00,219.993,54 0,00,58,61 31/03/2013
2014,5 0,02,695.341,89 0,01,74,53 29/07/2014
2015,8 0,03,1.291.372,76 0,02,90,50 27/11/2015
2016,16 0,05,2.009.706,54 0,04,97,00 11/06/2016
2017,78 0,25,9.444.925,45 0,17,112,15 15/09/2017
2018,16 0,05,1.508.247,55 0,03,122,48 27/07/2018
2019,59 0,19,5.001.132,57 0,09,134,05 14/07/2019
2020,62 0,20,4.700.473,10 0,09,147,34 22/08/2020
2021,88 0,28,8.381.883,35 0,15,159,01 12/08/2021
2022,316 1,01,39.949.105,69 0,73,171,20 18/08/2022
2023,76 0,24,7.080.074,50 0,13,182,42 26/07/2023
2024,163 0,52,14.525.418,10 0,27,194,63 31/07/2024
2025,174 0,56,21.493.571,71 0,39,206,57 30/07/2025
2026,204 0,65,25.532.614,13 0,47,218,46 26/07/2026
2027,980 3,13,142.882.267,88 2,62,231,00 12/08/2027
2028,118 0,38,16.136.904,99 0,30,242,58 30/07/2028
2029,211 0,67,26.086.546,60 0,48,254,87 8/08/2029
2030,236 0,75,35.125.098,17 0,64,266,80 6/08/2030
2031,329 1,05,48.521.992,37 0,89,278,50 28/07/2031
2032,1.642 5,25,248.144.258,26 4,55,291,09 14/08/2032
2033,244 0,78,35.247.324,24 0,65,303,09 14/08/2033
2034,852 2,72,122.969.348,93 2,25,314,75 4/08/2034
2035,1.129 3,61,182.092.707,43 3,34,326,70 3/08/2035
2036,1.185 3,79,206.091.459,59 3,78,338,15 16/07/2036
2037,5.481 17,51,913.026.380,84 16,73,350,75 4/08/2037
2038,155 0,50,28.544.650,38 0,52,360,99 12/06/2038
2039,193 0,62,35.219.977,40 0,65,374,79 6/08/2039
2040,194 0,62,36.541.423,57 0,67,386,57 29/07/2040
2041,316 1,01,59.009.996,41 1,08,399,15 16/08/2041
2042,2.504 8,00,450.982.329,62 8,26,410,35 23/07/2042
2043,193 0,62,36.964.576,05 0,68,422,61 31/07/2043
2044,240 0,77,45.972.569,77 0,84,435,03 12/08/2044
2045,306 0,98,62.028.144,86 1,14,447,08 14/08/2045
2046,774 2,47,150.641.591,64 2,76,459,67 1/09/2046
2047,12.677 40,51,2.420.800.167,71 44,35,470,15 17/07/2047
2048,69 0,22,13.256.535,16 0,24,476,13 15/01/2048
Total 31.297 100,00 5.458.411.305,76 100,00,,,
Media p on derada: 400,50 26/09/2041
Media simple: 390,73 3/12/2040
Mínimo: 50,63 31/07/2012
Máximo: 476,65 31/01/2048
* Vida residual a la fecha de vencimiento final (en meses y fecha) son medias ponderadas por el principal pendiente de
los préstamos que tienen el vencimiento final en el año correspondiente.,,,
