Tasa Interna Rentabilidad, Vida Media y Duración para el suscriptor,,,,
,Tasa de amortización anticipada,,,
,5%,10%,15%,
Tramo A,,,,
Vencimiento
Años
Vida Media
Duración
T.I.R. Bruta,24-abr-28
21,90
9,27
7,33
3,253%,24-oct-22
16,39
6,38
5,34
3,252%,24-oct-18
12,39
4,76
4,14
3,250%,
Tramo B,,,,
Vencimiento
Años
Vida Media
Duración
T.I.R. Bruta,24-abr-28
21,90
15,45
11,57
3,388%,24-oct-22
15,96
10,82
8,70
3,387%,24-oct-18
11,96
8,07
6,81
3,387%,
Tramo C,,,,
Vencimiento
Años
Vida Media
Duración
T.I.R. Bruta,24-abr-28
21,90
15,45
11,25
3,749%,24-oct-22
15,96
10,82
8,52
3,749%,24-oct-18
11,96
8,07
6,69
3,748%,
