Distribución por Vida Residual
V. Residual Número % sobre total Saldo % sobre LTV Tipo de interés Vida residual
(en meses) Préstamos préstamos Vivo balance total Medio ponder. Medio ponder. Media ponder.

Menos de 150 3 3 0,35% 2.665.402,28 0,20% 79,72% 3,05% 120,7
entre 150Y 169 7 5 0,79% 4.853.456,01 0,37% 79,74% 3,37% 163,7
entre 170 y 189 8 4 0,89% 6.745.234,10 0,51% 79,84% 3,33% 178,0
entre 190 y 209 3 19 3,36% 20.009.038,43 1,51% 79,50% 3,42% 204,1
entre 210 y 229 6 94 7,32% 49.601.724,51 3,75% 81,95% 3,34% 219,7
entre 230 y 249 2 97 3,13% 28.059.889,02 2,12% 82,47% 3,29% 238,1
entre 250 y 269 1 .050 11,07% 100.523.103,43 7,60% 83,96% 3,30% 275,9
entre 290 y 309 8 71 9,18% 89.313.408,11 6,76% 84,82% 3,32% 300,1
más de 310 6 .062 63,91% 1.020.363.189,63 77,18% 90,34% 3,16% 345,7

Totales 9 .485 100,00% 1.322.134.445,52 100,00% 88,72% 3,20% 326,16
