AyT Goya Hipotecario III, FTA
Distribución por LTV
LTV P N ré ú s m ta e m ro o s % p r s é o s b t r a e m t o o s tal S V a i l v d o o % V S iv a o ldo Sa M ld e o d V io ivo T M ip e o d io d e p o in n t d er e é r s . Vi M da e d re ia s i p d o u n a d l e a r ñ . os An M t e ig d ü ia e d p a o d n d a e ñ r os Saldo Inicial P m laz e o d i T a o p ta o l n a d ñ e o r s

10.00% a 20.00% 1.495 5,24% 93.003.608,22 2,22% 62.209,77 1,82% 15,35 1,96 128.259.568,51 17,30
20.01% a 30.00% 2.697 9,45% 236.326.316,88 5,64% 87.625,63 1,80% 18,65 1,85 285.603.098,92 20,50
30.01% a 40.00% 3.642 12,76% 415.746.720,47 9,92% 114.153,41 1,79% 21,32 1,79 467.089.200,22 23,11
40.01% a 50.00% 4.303 15,08% 591.311.762,15 14,11% 137.418,49 1,78% 23,47 1,80 646.311.234,29 25,26
50.01% a 60.00% 4.628 16,22% 718.832.166,25 17,15% 155.322,42 1,78% 24,65 1,82 770.390.158,36 26,47
60.01% a 70.00% 5.328 18,67% 916.055.729,47 21,85% 171.932,38 1,78% 26,15 1,75 966.851.676,03 27,90
70.01% a 80.00% 4.917 17,23% 933.674.521,28 22,28% 189.887,03 1,78% 28,09 1,87 974.773.720,28 29,96
80.01% a 90.00% 1.066 3,74% 202.665.366,02 4,84% 190.117,60 1,82% 31,33 2,37 211.620.695,58 33,70
90.01% a 100.00% 459 1,61% 83.907.965,51 2,00% 182.806,03 1,87% 33,56 2,94 87.772.111,81 36,51

Totales 28.535 100% 4.191.524.156,25 100% 146.890,63 1,79% 25,20 1,86 4.538.671.464,00 27,07
LTV Máximo 94,8%
LTV Medio 58,0%
LTV Máximo 94,8%
LTV Medio 58,0%
