AyT Goya Hipotecario IV, FTA
Distribución por Saldo Inicial
Saldo Inicial P N ré ú s m ta e m ro o s % p r s é o s b t r a e m t o o s tal S V a i l v d o o % V S iv a o ldo Sa M ld e o d V io ivo T M ip e o d io d e p o in n t d er e é r s . Vid M a e d re ia s id p u on al d a e ñ r. os An M t e ig d ü ia e d p a o d n d a e ñ r os Saldo Inicial Pl m az e o d i T a o p ta o l n a d ñ e o r s

Inferior a 49.999 691 7,01% 23.058.301,57 1,59% 33.369,47 1,98% 18,11 1,83 25.356.882,96 19,94
entre 50.000 Y 99.999 2.467 25,04% 173.487.154,61 11,99% 70.323,13 1,89% 20,62 1,53 188.018.359,19 22,15
entre 100.000 Y 149.999 2.675 27,15% 307.946.644,89 21,27% 115.120,24 1,84% 24,46 1,45 328.228.059,67 25,91
entre 150.000 Y 199.999 1.782 18,09% 284.183.574,78 19,63% 159.474,51 1,85% 25,76 1,58 304.089.572,44 27,35
entre 200.000 Y 249.999 900 9,14% 186.042.943,07 12,85% 206.714,38 1,85% 26,40 1,74 199.117.491,11 28,13
entre 250.000 Y 299.999 489 4,96% 121.862.542,21 8,42% 249.207,65 1,85% 26,21 1,79 132.351.530,26 27,99
entre 300.000 Y 349.999 296 3,00% 84.975.459,62 5,87% 287.079,26 1,87% 25,85 1,89 93.934.829,41 27,74
entre 350.000 Y 3999.999 173 1,76% 59.056.382,33 4,08% 341.366,37 1,89% 26,01 1,91 64.013.251,68 27,92
entre 400.000 Y 449.999 88 0,89% 33.488.108,30 2,31% 380.546,69 1,91% 25,69 2,08 36.834.121,97 27,77
entre 450.000 Y 499.999 70 0,71% 28.481.706,04 1,97% 406.881,51 1,85% 25,01 2,57 32.964.401,00 27,58
entre 500.000 Y 999.999 189 1,92% 106.842.666,69 7,38% 565.305,11 1,87% 23,63 2,20 123.144.181,53 25,83
entre 1.000.000 Y 1.499.999 16 0,16% 15.517.530,96 1,07% 969.845,69 1,85% 23,25 2,05 17.509.349,32 25,29
Superior o igual a 1.500.000 15 0,15% 22.524.973,26 1,56% 1.501.664,88 1,94% 21,33 2,90 28.763.113,00 24,23

Totales 9.851 100% 1.447.467.988,33 100% 146.936,15 1,86% 24,61 1,72 1.574.325.143,54 26,33
Valor Máximo 2.880.000
Valor Mínimo 13.600,00
