AyT Goya Hipotecario IV, FTA
Distribución según concentración mayores deudores
Número Saldo % Saldo Saldo Vivo Tipo de interés Vida residual años Plazo Total años
Deudor Saldo Inicial
Préstamos Vivo Vivo Medio Medio ponder. Media ponder. media ponder

1 1 1.927.426,36 0,13% 1.927.426,36 2,03% 15,33 2.100.000,00 20,00
2 1 1.837.985,09 0,13% 1.837.985,09 1,62% 17,00 2.070.000,00 20,00
3 1 1.728.000,00 0,12% 1.728.000,00 1,98% 12,17 1.728.000,00 15,00
4 1 1.691.609,84 0,12% 1.691.609,84 2,11% 21,00 2.880.000,00 25,00
5 1 1.687.565,85 0,12% 1.687.565,85 1,87% 28,50 1.754.000,00 30,00
6 1 1.674.353,55 0,12% 1.674.353,55 1,86% 28,50 1.740.000,00 30,00
7 1 1.609.339,63 0,11% 1.609.339,63 2,05% 17,92 1.750.000,00 20,00
8 1 1.600.000,00 0,11% 1.600.000,00 1,88% 16,42 1.600.000,00 20,00
9 1 1.599.392,59 0,11% 1.599.392,59 1,87% 29,50 1.616.113,00 30,00
10 1 1.490.014,14 0,10% 1.490.014,14 2,00% 24,92 2.400.000,00 29,00

Total 10 16.845.687,05 1,16% 1.684.568,71 1,93% 20,93 19.638.113,00 23,73

