AyT Genova Hipotecario XII FTH
Distribución por Saldo Inicial
Saldo Número % sobre total Saldo % Saldo Saldo Vivo medio LTV Tipo de interés Vida residual
Inicial Préstamos préstamos Vivo Vivo Medio Medio Ponderado Medio Ponderado Media ponderada

Less than 50.000 246 4.90% 6,133,868.14 0.76% 24,934.42 15.06% 5.04% 169.76
50.000 to 99.999 714 14.21% 48,123,763.09 5.95% 67,400.23 37.75% 5.03% 256.50
100.000 to 149.999 1,213 24.14% 134,273,159.37 16.61% 110,695.10 52.21% 5.02% 296.02
150.000 to 199.999 1,225 24.38% 191,465,312.05 23.68% 156,298.21 57.87% 5.03% 316.78
200.000 to 299.999 1,011 20.12% 215,155,504.18 26.61% 212,814.54 60.32% 5.03% 319.58
300.000 to 399.999 331 6.59% 96,186,912.77 11.90% 290,594.90 60.39% 5.04% 318.03
400.000 to 499.999 152 3.03% 52,101,409.00 6.44% 342,772.43 57.33% 5.00% 323.78
500.000 to 599.999 60 1.19% 25,272,796.97 3.13% 421,213.28 56.31% 5.01% 326.11
600.000 to 699.999 34 0.68% 14,579,226.23 1.80% 428,800.77 55.31% 5.04% 321.87
700.000 to 799.999 15 0.30% 7,179,711.28 0.89% 478,647.42 54.58% 5.06% 285.68
800.000 to 999.999 14 0.28% 8,799,462.39 1.09% 628,533.03 56.67% 4.99% 341.19
More than 1.000.000 9 0.18% 9,281,775.27 1.15% 1,031,308.36 65.27% 5.02% 319.96

Totals 5,024 100% 808,552,900.74 100% 160,938.08 56.27% 5.03% 310.38
