AyT Genova Hipotecario XII FTH
Distribución por Saldo Vivo
Saldo Número % sobre total Saldo % Saldo Saldo Vivo LTV Tipo de interés Vida residual
Vivo Préstamos préstamos Vivo Vivo Medio Medio Ponder Medio ponder. Media ponder.
Menos de 50.000 468 9.32% 12,660,947.87 1.57% 27,053.31 15% 5.05% 162.36
entre 50.000 Y 99.999 912 18.15% 71,484,128.29 8.84% 78,381.72 39% 5.03% 252.70
entre 100.000 Y 149.999 1,279 25.46% 160,131,424.34 19.80% 125,200.49 52% 5.03% 298.47
entre 150.000 Y 199.999 1,109 22.07% 191,882,602.99 23.73% 173,023.09 59% 5.03% 321.99
entre 200.000 Y 299.999 860 17.12% 205,880,885.02 25.46% 239,396.38 61% 5.03% 325.26
entre 300.000 Y 399.999 239 4.76% 81,303,243.73 10.06% 340,180.94 62% 5.02% 323.46
entre 400.000 Y 499.999 91 1.81% 40,437,699.58 5.00% 444,370.33 61% 4.99% 331.45
entre 500.000 Y 599.999 34 0.68% 18,833,189.28 2.33% 553,917.33 61% 5.02% 328.51
entre 600.000 Y 699.999 11 0.22% 7,005,327.10 0.87% 636,847.92 61% 5.02% 297.59
entre 700.000 Y 799.999 8 0.16% 5,972,243.86 0.74% 746,530.48 64% 5.05% 347.82
entre 800.000 y 999.999 7 0.14% 6,238,645.91 0.77% 891,235.13 63% 4.97% 303.03
Más de 1.000.000 6 0.12% 6,722,562.77 0.83% 1,120,427.13 70% 5.07% 350.99
Totales 5,024 100% 808,552,900.74 100% 160,938.08 56.27% 5.03% 310.38

