AyT Genova Hipotecario XII FTH
Distribución por Vencimiento Final
Año Número % sobre total Saldo % Saldo Saldo Vivo LTV Tipo de interés Vida residual
Vencimiento Préstamos préstamos Vivo Vivo Medio Medio ponder Medio ponder. Media ponder.
Antes de 2012 105 2.09% 2,892,884.19 0.36% 27,551.28 24.04% 5.05% 38.50
En 2013 31 0.62% 1,117,020.07 0.14% 36,032.91 17.58% 5.01% 62.02
En 2014 40 0.80% 1,502,552.22 0.19% 37,563.81 19.40% 5.06% 73.73
En 2015 41 0.82% 2,057,959.58 0.25% 50,194.14 26.96% 5.05% 85.96
En 2016 43 0.86% 2,657,370.76 0.33% 61,799.32 25.37% 5.09% 97.18
En 2017 63 1.25% 4,661,744.84 0.58% 73,995.95 31.25% 4.97% 111.11
En 2018 46 0.92% 3,547,466.67 0.44% 77,118.84 34.88% 5.03% 122.81
En 2019 80 1.59% 7,535,484.20 0.93% 94,193.55 37.17% 5.06% 134.20
En 2020 48 0.96% 4,139,416.76 0.51% 86,237.85 38.05% 5.06% 147.19
En 2021 57 1.13% 5,596,692.24 0.69% 98,187.58 36.75% 5.07% 159.70
En 2022 127 2.53% 13,560,853.37 1.68% 106,778.37 42.32% 5.05% 172.17
En 2023 70 1.39% 6,701,144.02 0.83% 95,730.63 39.14% 5.05% 184.21
En 2024 116 2.31% 13,962,566.14 1.73% 120,366.95 43.26% 5.03% 194.50
En 2025 93 1.85% 9,216,578.80 1.14% 99,103.00 42.20% 5.06% 207.77
En 2026 100 1.99% 13,835,017.06 1.71% 138,350.17 48.45% 5.06% 219.80
En 2027 255 5.08% 32,711,817.40 4.05% 128,281.64 47.76% 4.99% 232.67
En 2028 55 1.09% 7,433,533.25 0.92% 135,155.15 48.06% 5.07% 245.23
En 2029 123 2.45% 16,722,768.51 2.07% 135,957.47 52.41% 5.01% 255.52
En 2030 113 2.25% 17,381,793.16 2.15% 153,821.18 52.97% 5.05% 269.07
En 2031 119 2.37% 16,734,045.64 2.07% 140,622.23 50.41% 5.01% 280.54
En 2032 343 6.83% 55,015,765.64 6.80% 160,395.82 53.97% 5.01% 293.58
En 2033 93 1.85% 16,248,477.41 2.01% 174,714.81 55.20% 5.06% 305.24
En 2034 269 5.35% 45,832,882.39 5.67% 170,382.46 56.50% 5.04% 316.72
En 2035 340 6.77% 65,437,972.64 8.09% 192,464.63 58.58% 5.06% 330.07
En 2036 552 10.99% 109,228,567.57 13.51% 197,877.84 59.78% 5.06% 341.76
En 2037 1,702 33.88% 332,820,526.21 41.16% 195,546.73 61.50% 5.00% 354.22
Totales 5,024 100% 8 08,552,901 100% 160,938.08 56.27% 5.03% 310.38

