Numero de % sobre el total Saldo % sobre Balance LTV Tipo de Interés Vida Residual
Provinces Prestamos préstamos Vivo total edio ponderamedio ponderado Media ponderada
Andalucia 1 .180 18,50% 174.553.111,89 16,42% 59,29% 4,123% 312,7
Aragon 156 2,45% 23.676.562,19 2,23% 58,52% 4,126% 304,9
Asturias 8 9 1,39% 11.634.510,14 1,09% 62,15% 4,172% 305,9
Cantabria 137 2,15% 17.706.679,75 1,67% 59,11% 4,137% 310,4
Castilla-La Mancha 181 2,84% 25.726.345,73 2,42% 61,36% 4,166% 314,7
Castilla-Leon 252 3,95% 33.619.595,17 3,16% 62,60% 4,148% 308,4
Cataluña 1 .173 18,39% 221.100.896,59 20,79% 56,91% 4,150% 318,3
Ceuta 2 0,03% 276.716,82 0,03% 70,34% 4,032% 324,8
Extremadura 2 7 0,42% 3.542.867,80 0,33% 57,97% 4,136% 315,9
Galicia 164 2,57% 20.573.928,54 1,93% 59,63% 4,146% 300,2
Islas Baleares 274 4,29% 47.195.680,87 4,44% 60,88% 4,134% 316,6
Islas Canarias 487 7,63% 73.768.926,95 6,94% 62,54% 4,150% 309,9
La Rioja 1 7 0,27% 2.290.977,42 0,22% 58,30% 4,159% 293,3
Madrid 1 .187 18,61% 245.104.087,13 23,05% 57,06% 4,115% 310,1
Murcia 199 3,12% 28.977.700,76 2,73% 63,35% 4,157% 315,1
Navarra 4 7 0,74% 7.752.445,70 0,73% 61,32% 4,042% 300,9
País Vasco 162 2,54% 25.933.540,27 2,44% 54,27% 4,150% 302,0
Valencia 646 10,13% 99.861.580,27 9,39% 61,11% 4,139% 317,5
Totals 6.380 100,00% 1.063.296.153,99 100,00% 58,92% 4,135% 312,8
