AyT. Génova Hipotecario X, FTH
Distribución por Fecha de Revisión
Próxima Número de % sobre total Saldo % sobre balance LTV Tipo de Interés Vida Residual
Revisión Préstamos préstamos Vivo total Medio Ponderado Medio Ponderado Media ponderada
jun-07 7 85 12,30% 133.585.329,93 12,56% 58,11% 3,698% 312,4
jul-07 9 40 14,73% 160.156.491,87 15,06% 58,96% 3,778% 318,1
ago-07 4 33 6,79% 70.668.988,97 6,65% 58,74% 3,866% 318,8
sep-07 5 86 9,18% 101.719.458,57 9,57% 59,15% 3,996% 314,6
oct-07 5 30 8,31% 92.306.908,55 8,68% 59,48% 4,081% 317,3
nov-07 4 59 7,19% 75.519.557,05 7,10% 58,39% 4,174% 311,5
dic-07 4 53 7,10% 72.273.442,78 6,80% 59,10% 4,250% 312,4
ene-08 1 95 3,06% 32.290.567,52 3,04% 61,04% 4,332% 303,2
feb-08 2 27 3,56% 36.125.781,80 3,40% 60,38% 4,393% 293,2
mar-08 3 75 5,88% 64.450.058,65 6,06% 60,88% 4,520% 305,5
abr-08 5 59 8,76% 89.311.784,23 8,40% 58,57% 4,545% 309,9
may-08 6 53 10,24% 106.095.468,17 9,98% 57,79% 4,598% 312,5
jun-08 1 85 2,90% 28.792.315,90 2,71% 57,80% 4,700% 314,2
Total 6.380 100,00% 1.063.296.153,99 100,00% 58,92% 4,135% 312,8
