,,,,Euros,
,Gastos de Constitución,,,,
Tasas CNMV (emisión y admisión),,,50.133,29,,
Tasas AIAF,,,21.460,00,,
Tasas SOCIEDAD DE SISTEMAS,,,1.740,00,,
Comisión Sociedad Gestora, Entidad de Calificación,
asesores legales y auditores, gastos notariales,
publicaciones y otros,,,364.715,20,,
,Subtotal,,,438.048,49,
,Gastos de Emisión y Colocación,,,,
Comisión de Dirección,,,74.000,00,,
Comisión de Aseguramiento y Colocación (*),,,397.800,00,,
,Subtotal,,,471.800,00,
,Subtotal,,,909.848,49,
Parte Fondo Reserva no dotada con Valor IO (**),,,587.040,00,,
,Total,,,1.496.888,49,
