,,,,Euros,
,Formation Expenses,,,,
CNMV charges (issue and admission),,,50,133.29,,
AIAF charges,,,21,460.00,,
SYSTEMS COMPANY fees,,,1,740.00,,
Fees of the Managing Company, Rating Agency, legal
advisors and auditors, notarial expenses, publications
and other,,,364,715.20,,
,Subtotal,,,438,048.49,
,Issue and Placement Expenses,,,,
Management Commission,,,74,000.00,,
Underwriting and Placement Fee (*),,,397,800.00,,
,Subtotal,,,471,800.00,
,Subtotal,,,909,848.49,
Part Reserve Fund not funded by Security IO (**),,,587,040.00,,
,Total,,,1,496,888.49,
