Cartera de préstamos hipotecarios al día 31.10.2008
Clasificación por fecha formalización del préstamo,,
Intervalo de fechas,Préstamos hipotecarios
%,Principal pendiente
(euros) %
01/07/2000 a 31/12/2000,2 0,01,154.004,01 0,00
01/01/2001 a 30/06/2001,2 0,01,87.334,07 0,00
01/07/2001 a 31/12/2001,6 0,03,613.540,09 0,02
01/01/2002 a 30/06/2002,6 0,03,331.762,08 0,01
01/07/2002 a 31/12/2002,5 0,03,492.668,33 0,02
01/01/2003 a 30/06/2003,13 0,07,921.919,61 0,03
01/07/2003 a 31/12/2003,16 0,09,1.891.038,24 0,06
01/01/2004 a 30/06/2004,26 0,14,2.829.051,98 0,09
01/07/2004 a 31/12/2004,50 0,27,6.679.402,43 0,21
01/01/2005 a 30/06/2005,70 0,38,10.023.489,31 0,31
