Cartera de préstamos hipotecarios al día 30.06.2007
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
2,50 - 2,74,1 0,01,,138.206,12 0,01,,2,58,
2,75 - 2,99,1 0,01,,38.245,13 0,00,,2,95,
3,00 - 3,24,5 0,03,,821.520,76 0,04,,3,04,
3,25 - 3,49,18 0,12,,2.456.933,81 0,11,,3,32,
3,50 - 3,74,126 0,84,,19.827.886,29 0,87,,3,60,
3,75 - 3,99,629 4,20,,103.494.352,17 4,53,,3,85,
4,00 - 4,24,1.362 9,10,,222.968.435,45 9,76,,4,09,
4,25 - 4,49,2.012 13,45,,323.845.708,25 14,17,,4,35,
4,50 - 4,74,3.243 21,67,,513.142.198,84 22,45,,4,61,
4,75 - 4,99,3.782 25,27,,572.271.765,40 25,04,,4,87,
5,00 - 5,24,2.612 17,46,,373.771.804,90 16,35,,5,10,
5,25 - 5,49,912 6,09,,120.785.350,47 5,29,,5,33,
5,50 - 5,74,207 1,38,,25.136.626,27 1,10,,5,57,
5,75 - 5,99,50 0,33,,6.184.556,87 0,27,,5,80,
6,00 - 6,24,4 0,03,,514.490,22 0,02,,6,00,
Total 14.964 100,00 2.285.398.080,95 100,00,,,,,,
Media ponderada: 4,67 %
Media simple: 4,70 %
Mínimo: 2,58 %
Máximo: 6,00 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,,,,,,
,Media ponderada:,,,,4,67,%
,Media simple:,,,,4,70,%
,Mínimo:,,,,2,58,%
,Máximo:,,,,6,00,%
