,Bonos Serie D,,,,
Vida media (años),13,11,11,24,9,78,8,64,7,66
TIR,6,125%,6,125%,6,125%,6,125%,6,125%
Duración (años),8,41,7,57,6,86,6,25,5,71
Vencimiento final,23 02 2026,22 08 2023,23 08 2021,24 02 2020,22 08 2018
(en años),19,08,16,57,14,57,13,07,11,56
,,,,,
,Bonos Serie E,,,,
Vida media (años),14,20,12,22,10,67,9,50,8,41
TIR,7,992%,7,992%,7,992%,7,992%,7,992%
Duración (años),7,76,7,12,6,55,6,07,5,59
Vencimiento final,23 02 2026,22 08 2023,23 08 2021,24 02 2020,22 08 2018
(en años),19,08,16,57,14,57,13,07,11,56
