Cartera de préstamos hipotecarios al día 31/03/2005
Clasificación por fecha de vencimiento final,,,
Año de vencimiento final,Préstamos
%,Principal pendiente
(euros) %,Vida Residual *
Meses Fecha
2005,2 0,01,11.289,71 0,00,5,08 2/09/2005
2006,20 0,13,115.773,65 0,01,13,19 7/05/2006
2007,18 0,12,241.332,15 0,01,25,47 15/05/2007
2008,11 0,07,357.279,00 0,02,36,66 20/04/2008
2009,23 0,15,398.530,41 0,02,52,56 17/08/2009
2010,15 0,10,669.303,39 0,04,63,44 14/07/2010
2011,27 0,18,857.138,16 0,05,75,63 20/07/2011
2012,26 0,17,1.065.174,23 0,06,88,39 11/08/2012
2013,25 0,16,1.576.335,99 0,09,100,42 13/08/2013
2014,174 1,14,10.573.594,42 0,60,110,89 27/06/2014
2015,14 0,09,1.308.245,62 0,07,121,47 15/05/2015
