Mortgage loan portfolio as of 31.03.2005
Classification by initial loan/current value ratio,,,
Initial loan-to-value ratio
intervals,Loans
%,Initial Principal
(EUR) %,Initial loan-to-
Curr. Value* (%)
40.01 - 45.00,314 2.06,31,050,551.78 1.69,42.58
45.01 - 50.00,402 2.63,42,154,495.02 2.30,47.86
50.01 - 55.00,465 3.05,54,831,749.95 2.99,52.64
55.01 - 60.00,615 4.03,73,936,293.23 4.03,57.72
60.01 - 65.00,691 4.53,86,571,974.35 4.71,62.73
65.01 - 70.00,1,256 8.23,158,509,775.84 8.63,68.35
70.01 - 75.00,1,239 8.12,149,726,978.29 8.15,72.78
75.01 - 80.00,3,880 25.43,460,760,069.44 25.09,78.87
80.01 - 85.00,1,425 9.34,172,793,432.04 9.41,83.23
85.01 - 90.00,891 5.84,120,892,054.28 6.58,87.99
90.01 - 95.00,600 3.93,80,461,981.27 4.38,92.65
95.01 - 100.00,2,770 18.15,360,277,254.35 19.62,98.96
Total 15,259 100.00 1,836,534,330.67 100.00,,,
Weighted average: 78.17 %
Simple Average: 76.41 %
Minimum: 10.47 %
Maximum: 100.00%
*Initial Loan-to-Current Value ratio lists averages weighted by the initial principal.,,,
