Mortgage loan portfolio as of 31.03.2005
Classification by Provinces,,
Las Palmas,Loans
803 5.26,Outstanding Principal
96,672,817.45 5.53
León,16 0.10,1,425,667.59 0.08
Lleida,81 0.53,8,476,539.82 0.48
Madrid,1,469 9.63,251,002,675.83 14.36
Málaga,404 2.65,59,214,985.61 3.39
Melilla,1 0.01,95,034.16 0.01
Murcia,573 3.76,56,450,450.36 3.23
Navarre,190 1.25,19,369,179.05 1.11
Orense,89 0.58,7,878,297.09 0.45
Palencia,18 0.12,1,399,067.23 0.08
Pontevedra,82 0.54,6,941,513.58 0.40
Salamanca,140 0.92,17,960,049.60 1.03
Segovia,8 0.05,785,459.30 0.04
Seville,384 2.52,39,500,982.98 2.26
Soria,2 0.01,192,557.22 0.01
Sta. Cruz Tenerife,232 1.52,25,878,865.96 1.48
Tarragona,364 2.39,45,369,241.82 2.59
Teruel,1 0.01,307,667.55 0.02
Toledo,148 0.97,18,259,576.75 1.04
Valencia,5,244 34.37,477,328,408.15 27.30
Valladolid,65 0.43,7,519,516.73 0.43
Biscay,44 0.29,7,554,626.97 0.43
Zaragoza,216 1.42,29,064,414.75 1.66
Total 15,259 100.00 1,748,468,443.63 100.00,,
