Cartera de préstamos hipotecarios al día 31.12.2005
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación,Préstamos
%,Principal pendiente
(euros) %,(%) Principal
pendiente/
V. Tasación *
0,01 - 5,00,2 0,01,10.145,28 0,00,0,80
5,01 - 10,00,29 0,17,850.227,91 0,04,8,45
10,01 - 15,00,55 0,32,1.940.245,39 0,09,13,01
15,01 - 20,00,83 0,48,3.854.660,37 0,17,17,79
20,01 - 25,00,156 0,90,8.203.609,35 0,37,22,68
25,01 - 30,00,237 1,37,15.521.146,61 0,70,27,55
30,01 - 35,00,312 1,81,23.264.769,53 1,05,32,92
35,01 - 40,00,364 2,11,30.239.405,48 1,37,37,78
40,01 - 45,00,440 2,55,43.721.115,89 1,98,42,54
45,01 - 50,00,555 3,22,63.344.128,43 2,87,47,70
50,01 - 55,00,639 3,71,74.064.971,74 3,35,52,64
55,01 - 60,00,809 4,69,100.523.281,10 4,55,57,60
60,01 - 65,00,969 5,62,127.002.548,18 5,75,62,68
65,01 - 70,00,1.549 8,99,205.042.557,58 9,28,67,81
70,01 - 75,00,1.589 9,22,209.360.961,33 9,47,72,69
75,01 - 80,00,4.322 25,07,569.135.757,26 25,75,78,02
80,01 - 85,00,1.576 9,14,208.269.453,58 9,42,82,73
85,01 - 90,00,1.045 6,06,152.264.665,26 6,89,87,69
90,01 - 95,00,710 4,12,108.548.797,57 4,91,92,57
95,01 - 100,00,1.798 10,43,264.690.367,25 11,98,97,81
Total 17.239 100,00 2.209.852.815,09 100,00,,,
Media Ponderada: 74,75 %
Media Simple: 72,14 %
Mínimo: 0,07 %
Máximo: 99,99 %
*Relación Principal pendiente /V. Tasación son medias ponderadas por el principal pendiente.,,,
