Cartera de préstamos hipotecarios al día 24.03.2010
Clasificación por Comunidades Autónomas,,
,Préstamos hipotecarios
Nº. %,Principal pendiente
( euros) %
Andalucía,2.078 23,97,330.802.204,56 22,20
Aragón,131 1,51,22.333.104,95 1,50
Asturias,250 2,88,34.239.484,43 2,30
Baleares,115 1,33,22.084.666,85 1,48
Canarias,409 4,72,61.179.251,17 4,11
Cantabria,153 1,77,25.555.938,59 1,71
Cataluña,831 9,59,173.940.391,41 11,67
Ceuta,72 0,83,12.253.016,71 0,82
País Vasco,315 3,63,68.544.907,51 4,60
Extremadura,225 2,60,30.322.199,67 2,03
Galicia,543 6,26,75.727.709,06 5,08
Castilla-León,549 6,33,82.971.500,64 5,57
Madrid,1.122 12,94,245.617.351,22 16,48
Castilla La Mancha,522 6,02,86.215.271,77 5,79
Melilla,75 0,87,12.848.879,08 0,86
Murcia,266 3,07,42.779.988,93 2,87
Navarra,81 0,93,14.764.480,19 0,99
La Rioja,33 0,38,5.355.267,93 0,36
Comunidad Valenciana,898 10,36,142.759.039,00 9,58
Total 8.668 100,00 1.490.294.653,67 100,00,,
