,,,
Fondo,,,Saldo Bonos
,Fecha Constitución,Emitido,
,,,
Fondos de Titulización Hipotecaria,,,31 de agosto de 2006
TDA 4 - F.T.H,22-abr-98,150.253.027€,31.679.170€
TDA 5 - F.T.H,16-oct-98,1.171.973.634€,196.990.454€
TDA 6 - F.T.H,20-ene-99,351.500.000€,77.083.113€
TDA 7 - F.T.H,12-mar-99,1.051.700.000€,296.078.151€
TDA 8 - F.T.H,9-abr-99,150.200.000€,47.641.910€
TDA 9 - F.T.H,12-may-99,332.400.000€,93.253.865€
TDA 10 - F.T.H,21-jul-99,240.500.000€,55.877.432€
TDA 11 - F.T.H,24-ene-00,660.600.000€,204.664.922€
TDA 12 - F.T.H,26-jun-00,513.900.000€,176.145.876€
