Fondos de Titulización de Activos,,,
,,,Saldo Bonos
,Fecha Constitución,Emitido,
,,,31 de agosto de 2006
TDA 13-MIXTO - F.T.A,5-dic-00,389.500.000€,147.291.854€
TDA 14-MIXTO - F.T.A,20-jun-01,601.100.000€,256.322.466€
TDA 15-MIXTO - F.T.A,4-nov-02,450.900.000€,241.818.324€
TDA 16-MIXTO - F.T.A,26-may-03,532.000.000€,254.959.851€
TDA 17-MIXTO - F.T.A,24-oct-03,455.000.000€,263.534.193€
TDA 18-MIXTO - F.T.A,14-nov-03,421.000.000€,234.644.545€
TDA 19-MIXTO - F.T.A,27-feb-04,600.000.000€,366.786.317€
TDA 20-MIXTO - F.T.A,25-jun-04,421.000.000€,305.594.025€
TDA 21-MIXTO - F.T.A,23-jul-04,775.000.000€,486.504.829€
TDA 22-MIXTO - F.T.A,1-dic-04,530.000.000€,355.938.621€
TDA 23 - F.T.A,17-mar-05,860.000.000€,653.509.476€
TDA 24- F.T.A,28-nov-05,485.000.000€,425.993.535€
TDA 25- F.T.A,29-jul-06,265.000.000€,265.000.000€
TDA 26-MIXTO - F.T.A,5-jul-06,908.100.000€,908.100.000€
TDA PASTOR 1 - F.T.A,25-feb-03,494.600.000€,268.193.378€
TDA CAM 1 - F.T.A,13-mar-03,1.000.000.000€,564.803.640€
TDA CAM 2 - F.T.A,27-jun-03,1.100.000.000€,647.829.390€
TDA CAM 3 - F.T.A,16-ene-04,1.200.000.000€,770.044.984€
TDA CAM 4 - F.T.A,9-mar-05,2.000.000.000€,1.551.247.107€
TDA CAM 5 - F.T.A,5-oct-05,2.000.000.000€,1.794.325.578€
TDA CAM 6, FTA,29-mar-06,1.300.000.000€,1.256.157.323€
TDA IBERCAJA 1 - F.T.A,8-oct-03,600.000.000€,401.330.761€
TDA IBERCAJA 2 - F.T.A,13-oct-05,904.500.000€,818.651.432€
