FECHAS,EURIBOR 3meses,BONO A,BONO B,BONO C
3-oct-06 3,435% 3,615% 3,865% 4,135%
2-oct-06 3,424% 3,604% 3,854% 4,124%
29-sep-06 3,417% 3,597% 3,847% 4,117%
28-sep-06 3,413% 3,593% 3,843% 4,113%
27-sep-06 3,376% 3,556% 3,806% 4,076%
26-sep-06 3,368% 3,548% 3,798% 4,068%
25-sep-06 3,374% 3,554% 3,804% 4,074%
22-sep-06 3,376% 3,556% 3,806% 4,076%
21-sep-06 3,372% 3,552% 3,802% 4,072%
20-sep-06 3,352% 3,532% 3,782% 4,052%
19-sep-06 3,349% 3,529% 3,779% 4,049%
18-sep-06 3,340% 3,520% 3,770% 4,040%
15-sep-06 3,335% 3,515% 3,765% 4,035%
14-sep-06 3,333% 3,513% 3,763% 4,033%
13-sep-06 3,321% 3,501% 3,751% 4,021%
12-sep-06 3,315% 3,495% 3,745% 4,015%
11-sep-06 3,305% 3,485% 3,735% 4,005%
8-sep-06 3,301% 3,481% 3,731% 4,001%
7-sep-06 3,294% 3,474% 3,724% 3,994%
6-sep-06 3,289% 3,469% 3,719% 3,989%,,,,
