,,006
,,
,EMISIÓN CAIXA PENEDES 1 TDA, FONDO DE TITULIZACIÓN DE ACTIVOS
(División por Ratio Saldo Actual/Tasación),
,,
,RATIO SALDO
VENCIMIENTO VENCIMIENTO
TIPO ACTUAL ACTUAL/
SALDO INICIAL RESIDUAL
RATIO SALDO SALDO ACTUAL PONDERADO TASACION Min. TIPO Máx. TIPO
NUM ACTUAL PONDERADO PONDERADO
ACTUAL/TASACION EUROS POR SALDO PONDERADO ACTUAL ACTUAL
% POR SALDO POR SALDO
ACTUAL POR SALDO
INICIAL (meses) ACTUAL (meses)
ACTUAL,
,0,00 - 10,00 196 4 3.747,16 0 176 148 3,960 8,00 2,853 4,750
10,00 - 20,00 39 1 .913.911,58 0,18 199 161 3,640 18,66 2,750 4,401
20,00 - 30,00 414 24.106.859,15 2,27 240 207 3,650 25,64 2,750 4,537
30,00 - 40,00 653 49.690.356,61 4,68 269 235 3,640 35,73 2,750 4,500
40,00 - 50,00 849 75.410.629,86 7,11 289 256 3,640 45,29 2,818 4,539
50,00 - 60,00 1.156 115.434.907,29 10,88 299 265 3,640 55,30 2,750 4,750
60,00 - 70,00 1.761 188.574.614,61 17,77 308 271 3,670 65,59 2,750 4,808
70,00 - 80,00 3.263 412.950.001,76 38,91 339 309 3,620 74,86 2,750 4,721
80,00 - 90,00 699 90.706.234,70 8,55 342 313 3,680 84,71 2,818 4,539
90,00 - 100,00 642 102.448.905,44 9,65 356 336 3,670 94,89 2,765 4,789,
,TOTALES 9.672 1 .061.280.168,16 100 322 290 3,650 68,71 2,750 4,808,
,,
