,Bonos Serie B,,,,
Vida media (años),14,11,12,10,10,52,9,25,8,19
TIR,3,957%,3,957%,3,957%,3,957%,3,957%
Duración (años),10,30,9,15,8,19,7,37,6,67
Vencimiento final,18 01 2027,17 07 2024,18 07 2022,19 10 2020,17 04 2019
(en años),20,16,17,65,15,65,13,90,12,39
,Bonos Serie C,,,,
Vida media (años),14,11,12,10,10,52,9,25,8,19
TIR,4,072%,4,072%,4,072%,4,072%,4,072%
Duración (años),10,21,9,08,8,13,7,33,6,63
Vencimiento final,18 01 2027,17 07 2024,18 07 2022,19 10 2020,17 04 2019
(en años),20,16,17,65,15,65,13,90,12,39
,Bonos Serie D,,,,
Vida media (años),14,11,12,10,10,52,9,25,8,19
TIR,4,375%,4,375%,4,375%,4,375%,4,375%
Duración (años),9,99,8,90,7,99,7,21,6,53
Vencimiento final,18 01 2027,17 07 2024,18 07 2022,19 10 2020,17 04 2019
(en años),20,16,17,65,15,65,13,90,12,39
,Bonos Serie E,,,,
Vida media (años),15,21,13,13,11,50,10,15,9,02
TIR,7,336%,7,336%,7,336%,7,336%,7,336%
Duración (años),8,45,7,74,7,12,6,56,6,05
Vencimiento final,18 01 2027,17 07 2024,18 07 2022,19 10 2020,17 04 2019
(en años),20,16,17,65,15,65,13,90,12,39
